country_name,ggi,per_women_stem,science_literacy_diff,intra_indv_diff,self_efficacy_diff,intrest_diff,enjoy_diff,satisfaction
Albania,0.7,38.6,-0.31,0.26,4.6,,,
Algeria,0.63,40.7,-0.21,0.17,0.04,,-0.13,6.4
Australia,0.73,24.5,0.02,0.53,0.2,0.25,0.14,7.3
Austria,0.73,22,0.19,0.52,0.22,0.35,0.18,7.1
Belgium,0.75,18.7,0.12,0.46,0.22,0.19,0.18,6.9
Brazil,0.69,24.8,0.05,0.26,0.06,0.13,-0.04,7
B-S-J-G (China),,,0.09,0.53,0.05,0.33,0.16,
Bulgaria,0.72,30.1,-0.15,0.28,-0.08,0.06,-0.16,4.4
Canada,0.74,,0.01,0.39,0.21,0.25,0.13,7.3
Chile,0.7,15.8,0.17,0.42,0.03,0.19,-0.08,6.8
Chinese Taipei,,,0.04,0.61,0.05,0.39,0.38,
Colombia,0.73,29.7,0.13,0.59,0.03,0.09,-0.02,6.4
Costa Rica,0.73,21.2,0.26,0.66,0.01,0.21,-0.03,6.9
Croatia,0.71,27.2,0.06,0.49,0.15,0.19,0.05,5.2
Czech Republic,0.69,24.4,0.01,0.67,0.15,0.21,-0.06,6.6
Denmark,0.77,29.3,0.06,0.44,0.3,0.21,0.08,7.5
Estonia,0.75,25.5,0.04,0.59,0.08,0.23,0.05,5.6
Finland,0.85,20,-0.2,0.39,0.22,0.28,0.04,7.4
France,0.76,25.6,0.02,0.45,0.27,0.3,0.28,6.4
Georgia,0.69,33.5,-0.18,0.41,-0.14,,-0.14,4.1
Germany,0.78,26.9,0.1,0.38,0.31,0.44,0.36,7
Greece,0.69,30.4,-0.1,0.38,0.15,0.1,0.11,5.6
Hong Kong,,,-0.01,0.51,0.14,0.38,0.25,5.5
Hungary,0.67,20.2,0.03,0.45,0.09,0.24,-0.02,5.3
Iceland,0.88,,-0.03,0.61,0.33,0.23,0.21,7.5
Indonesia,0.68,35.5,-0.06,0.34,-0.01,,-0.09,5
Ireland,0.81,23.9,0.12,0.33,0.2,0.22,0.09,6.8
Israel,0.71,,0.04,0.35,0.13,0.12,0.05,7.4
Italy,0.73,32.1,0.19,0.47,0.15,0.28,0.24,5.8
Japan,0.67,,0.15,0.45,0.21,0.33,0.45,5.9
Jordan,0.59,,-0.46,0.13,-0.08,,-0.23,5.4
Korea,0.65,26.9,-0.1,0.49,-0.03,0.32,0.27,5.8
Latvia,0.75,19.3,-0.13,0.51,0.04,0.31,0.03,5.9
Lebanon,0.6,,0.02,-0.09,0.04,,-0.04,5.2
Lithuania,0.74,19.4,-0.08,0.54,0.08,0.25,-0.12,5.7
Luxembourg,0.74,28.7,0.08,0.5,0.18,0.28,0.12,6.7
Macao,,12.4,-0.1,0.56,0.09,0.34,0.16,
Macedonia,0.7,33.9,-0.24,0.11,0.01,,-0.3,5
Malta,0.67,24,-0.09,0.33,0.21,,0.1,6.6
Mexico,0.7,29.1,0.12,0.52,0.01,0.16,0.01,6.2
Moldova,0.74,25.2,-0.09,0.52,-0.06,,-0.21,6
Montenegro,0.69,,-0.06,0.34,0.03,0.05,-0.07,5.1
Netherlands,0.78,20.2,0.04,0.51,0.21,0.31,0.23,7.3
New Zealand,0.78,27,0.05,0.61,0.21,0.18,0.03,7.4
Norway,0.85,20.3,0.03,0.85,0.18,0.22,0.22,7.6
Peru,0.68,,0.14,0.38,0.04,0.11,0.01,5.6
Poland,0.72,26.9,0.07,0.61,-0.01,0.17,-0.1,6
Portugal,0.73,31.4,0.11,0.48,0.12,0.27,0.08,5.1
Puerto Rico,,25.1,-0.12,0.32,-0.07,,-0.05,
Qatar,0.65,22.9,-0.24,0.27,0.03,0.22,0,6.4
Romania,0.69,32.6,-0.08,0.03,0,,-0.07,5.8
Russia,0.69,,0.05,0.5,0.14,0.26,0.07,6
Singapore,0.71,,0.06,0.62,0.19,0.34,0.17,6.6
Slovak Republic,0.68,24.8,-0.01,0.47,0.14,0.17,-0.02,6.2
Slovenia,0.78,22.7,-0.06,0.57,0.09,0.28,-0.03,5.7
Spain,0.74,25,0.07,0.35,0.21,0.18,0.1,6.4
Sweden,0.82,23.4,-0.04,0.56,0.3,0.25,0.17,7.3
Switzerland,0.79,23,0.06,0.43,0.2,0.28,0.15,7.6
Thailand,0.71,24.6,-0.12,0.37,0.01,0.09,-0.06,6.2
Trinidad and Tobago,0.72,,-0.23,0.35,0.01,,-0.01,6.2
Tunisia,0.63,38.5,0.06,0.52,0.07,0.09,-0.12,5.1
Turkey,0.62,36.3,-0.08,0.16,-0.1,0.15,0.01,5.5
United Arab Emirates,0.65,37.4,-0.26,0.13,0,0.2,-0.02,6.6
United Kingdom,0.76,29.4,0,0.14,0.21,0.29,0.17,6.5
United States,0.74,24.6,0.07,0.48,0.19,0.29,0.2,7.2
Uruguay,0.68,,0.1,0.49,0.05,0.05,-0.06,6.6
Vietnam,0.69,36.4,-0.04,0.52,-0.06,,0.07,5.1
