model_source,domain,effect_size
bnc_fasttext_400_10,Athletic People - Intelligent People,0.2026989983546065
bnc_fasttext_400_10,Avoiding - Approaching,-1.0479466554632109
bnc_fasttext_400_10,Career - Family,-0.7614121772060594
bnc_fasttext_400_10,Chaos - Order,0.8700355635214465
bnc_fasttext_400_10,Cold - Hot,-0.8303596679953579
bnc_fasttext_400_10,Determinism - Free Will,0.24713793389461886
bnc_fasttext_400_10,Friends - Family,0.2567684071152997
bnc_fasttext_400_10,Helpers - Leaders,0.33932479421564454
bnc_fasttext_400_10,Innocence - Wisdom,0.07837531850248652
bnc_fasttext_400_10,Jocks - Nerds,-0.06249388147380441
bnc_fasttext_400_10,Lawyers - Politicians,1.2105613977018017
bnc_fasttext_400_10,Money - Love,-1.4296830632627633
bnc_fasttext_400_10,National Defense - Education,-0.03523356618457248
bnc_fasttext_400_10,Organized Labor - Management,0.48240858278593796
bnc_fasttext_400_10,Poor People - Rich People,0.6345784865310794
bnc_fasttext_400_10,Private - Public,-0.8930107458331732
bnc_fasttext_400_10,Protein - Carbohydrates,0.31077319263043257
bnc_fasttext_400_10,Punishment - Forgiveness,1.5318780668561354
bnc_fasttext_400_10,Rebellious - Conforming,-0.5012653889707285
bnc_fasttext_400_10,Rich People - Beautiful People,0.34747263546332835
bnc_fasttext_400_10,Security - Freedom,0.5054914903831677
bnc_fasttext_400_10,Skeptical - Trusting,1.2461950935801225
bnc_fasttext_400_10,Speed - Accuracy,0.6904588075426917
bnc_fasttext_400_10,Stable - Flexible,-0.7550890320900188
bnc_fasttext_400_10,State - Church,-0.17697998012409913
bnc_fasttext_400_10,Tall People - Short People,0.007110773323098666
bnc_fasttext_400_10,Team - Individual,1.1624407594138029
bnc_fasttext_400_10,Technology - Nature,0.5576499416172616
bnc_fasttext_400_10,Tradition - Progress,1.3001367281512095
bnc_fasttext_400_10,Urban - Rural,-0.1769973930324366
bnc_fasttext_400_10,Winter - Summer,1.2475032801947634
coca_fasttext_400_10,Athletic People - Intelligent People,0.40174036636402943
coca_fasttext_400_10,Avoiding - Approaching,0.45578904369722656
coca_fasttext_400_10,Career - Family,-0.699875534845505
coca_fasttext_400_10,Chaos - Order,-0.4321769972167504
coca_fasttext_400_10,Cold - Hot,-0.09107885120062115
coca_fasttext_400_10,Determinism - Free Will,-0.7711639934394808
coca_fasttext_400_10,Friends - Family,-0.17147788785057255
coca_fasttext_400_10,Helpers - Leaders,-0.5251380688278081
coca_fasttext_400_10,Innocence - Wisdom,-0.22870200382306224
coca_fasttext_400_10,Jocks - Nerds,0.6451630007042656
coca_fasttext_400_10,Lawyers - Politicians,0.9465899821637791
coca_fasttext_400_10,Money - Love,0.2560359438367145
coca_fasttext_400_10,National Defense - Education,-0.040489958310567266
coca_fasttext_400_10,Organized Labor - Management,0.12351861938140045
coca_fasttext_400_10,Poor People - Rich People,-0.48360587472854616
coca_fasttext_400_10,Private - Public,0.08215976260988778
coca_fasttext_400_10,Protein - Carbohydrates,-0.41755966915282416
coca_fasttext_400_10,Punishment - Forgiveness,1.1196425394756229
coca_fasttext_400_10,Rebellious - Conforming,0.039344218072797046
coca_fasttext_400_10,Rich People - Beautiful People,-1.1066657293877957
coca_fasttext_400_10,Security - Freedom,0.7852519794368229
coca_fasttext_400_10,Skeptical - Trusting,0.2453616214696194
coca_fasttext_400_10,Speed - Accuracy,0.13119773959687056
coca_fasttext_400_10,Stable - Flexible,-0.14322939196672174
coca_fasttext_400_10,State - Church,0.22703085271659634
coca_fasttext_400_10,Tall People - Short People,0.8616504866904169
coca_fasttext_400_10,Team - Individual,0.16785634307016128
coca_fasttext_400_10,Technology - Nature,0.13395073058914678
coca_fasttext_400_10,Tradition - Progress,0.7960688019592956
coca_fasttext_400_10,Urban - Rural,-0.8152299003598763
coca_fasttext_400_10,Winter - Summer,0.7361602555828589
