country_name,median_age
Monaco,53.1
Japan,47.3
Germany,47.1
Saint Pierre and Miquelon,46.5
Italy,45.5
Slovenia,44.5
Greece,44.5
Hong Kong,44.4
San Marino,44.4
Andorra,44.3
Isle of Man,44.2
Saint Barthelemy,44.1
Austria,44
Guernsey,43.8
Lithuania,43.7
Latvia,43.6
Bermuda,43.4
Liechtenstein,43.2
Croatia,43
European Union,42.9
Bulgaria,42.7
Spain,42.7
Estonia,42.7
Serbia,42.6
Netherlands,42.6
Finland,42.5
Switzerland,42.4
Hungary,42.3
Canada,42.2
Portugal,42.2
Denmark,42.2
Bosnia and Herzegovina,42.1
Czechia,42.1
"Saint Helena, Ascension, and Tristan da Cunha",41.9
Republic of Korea,41.8
Malta,41.8
Cuba,41.5
Puerto Rico,41.5
Belgium,41.4
France,41.4
Sweden,41.2
Romania,41.1
Virgin Islands,41
Sint Maarten,41
Montenegro,40.7
Taiwan,40.7
Poland,40.7
Ukraine,40.6
UK,40.5
Slovakia,40.5
Cayman Islands,40
Belarus,40
Russian Federation,39.6
Luxembourg,39.3
Aruba,39.3
Macau,39.3
Norway,39.2
Australia,38.7
Barbados,38.6
United States of America,38.1
Georgia,38.1
Jersey,38
Macedonia,37.9
New Zealand,37.9
Thailand,37.7
Faroe Islands,37.6
China,37.4
Ireland,36.8
Cyprus,36.8
Moldova,36.7
Cook Islands,36.6
British Virgin Islands,36.5
Iceland,36.5
Curacao,36.1
Trinidad and Tobago,36
Seychelles,35.4
Mauritius,35.3
Armenia,35.1
Uruguay,35
Saint Kitts and Nevis,35
Anguilla,34.8
Saint Lucia,34.8
Gibraltar,34.7
Singapore,34.6
Chile,34.4
"Korea, North",34
Greenland,33.9
Saint Vincent and the Grenadines,33.6
Northern Mariana Islands,33.6
Dominica,33.5
Palau,33.4
Turks and Caicos Islands,33.3
Qatar,33.2
Montserrat,33.2
Albania,32.9
Sri Lanka,32.8
Saint Martin,32.5
Bahrain,32.3
Wallis and Futuna,32.2
New Caledonia,32
"Bahamas, The",32
Brazil,32
Antigua and Barbuda,31.9
French Polynesia,31.9
Argentina,31.7
Tunisia,31.6
Grenada,31.5
Azerbaijan,31.3
Costa Rica,31.3
Turkey,30.9
Kazakhstan,30.6
Lebanon,30.5
Vietnam,30.5
Iran,30.3
United Arab Emirates,30.3
Brunei,30.2
Indonesia,30.2
Colombia,30
Israel,29.9
Suriname,29.8
Kuwait,29.3
Morocco,29.3
Panama,29.2
Kosovo,29.1
Guam,29
Fiji,28.9
Libya,28.9
Uzbekistan,28.6
Malaysia,28.5
Mexico,28.3
Mongolia,28.3
Venezuela,28.3
Burma,28.2
Maldives,28.2
Paraguay,28.2
Algeria,28.1
Dominican Republic,28.1
Peru,28
India,27.9
Turkmenistan,27.9
Ecuador,27.7
Bhutan,27.6
Saudi Arabia,27.5
El Salvador,27.1
South Africa,27.1
Bangladesh,26.7
Kyrgyzstan,26.5
Nauru,26.4
Guyana,26.2
Jamaica,26
Tuvalu,25.7
Nicaragua,25.7
Oman,25.6
American Samoa,25.5
Cabo Verde,25.4
Cambodia,25.3
"Micronesia, Federated States of",25.1
Kiribati,24.6
Botswana,24.5
Tajikistan,24.5
Samoa,24.4
Bolivia,24.3
Syria,24.3
Lesotho,24.2
Nepal,24.1
Egypt,23.9
Djibouti,23.9
Pakistan,23.8
Philippines,23.5
Papua New Guinea,23.1
Tonga,23
Honduras,23
Haiti,23
Laos,23
Marshall Islands,22.9
Belize,22.7
Solomon Islands,22.5
Jordan,22.5
Guatemala,22.1
Vanuatu,22
Swaziland,21.7
Western Sahara,21.3
Namibia,21.2
West Bank,21.1
Ghana,21.1
"Gambia, The",21
Cote d'Ivoire,20.9
Mauritania,20.5
Guinea-Bissau,20.1
Zimbabwe,20
Iraq,20
Sudan,19.9
Comoros,19.9
Equatorial Guinea,19.8
Togo,19.8
Madagascar,19.7
Eritrea,19.7
Central African Republic,19.7
"Congo, Republic of the",19.7
Kenya,19.7
Yemen,19.5
Rwanda,19
Sierra Leone,19
Guinea,18.9
Timor-Leste,18.9
Senegal,18.8
Afghanistan,18.8
Gabon,18.6
"Congo, Democratic Republic of the",18.6
Cameroon,18.5
Sao Tome and Principe,18.4
Nigeria,18.4
Benin,18.2
Somalia,18.1
Ethiopia,17.9
Chad,17.8
Liberia,17.8
Tanzania,17.7
Burkina Faso,17.3
South Sudan,17.3
Gaza Strip,17.2
Mozambique,17.2
Burundi,17
Zambia,16.8
Malawi,16.5
Angola,15.9
Uganda,15.8
Mali,15.8
Niger,15.4
