wiki_language_code,target_word,translation_id,word_id,translation
ar,abuse,t1,w1,إساءة
fa,abuse,t1,w1,سو
de,abuse,t1,w1,missbrauch
en,abuse,t1,w1,abuse
nl,abuse,t1,w1,misbruik
pt,abuse,t1,w1,abuso
zh,abuse,t1,w1,滥用
es,abuse,t1,w1,abuso
da,abuse,t1,w1,misbrug
fi,abuse,t1,w1,väärinkäyttö
fr,abuse,t1,w1,abuser
id,abuse,t1,w1,penyalahgunaan
it,abuse,t1,w1,abuso
ja,abuse,t1,w1,乱用
ko,abuse,t1,w1,남용
ms,abuse,t1,w1,penyalahgunaan
no,abuse,t1,w1,misbruke
tl,abuse,t1,w1,abuso
pl,abuse,t1,w1,nadużycie
ru,abuse,t1,w1,злоупотребление
sv,abuse,t1,w1,missbruk
tr,abuse,t1,w1,taciz
zu,abuse,t1,w1,ukuhlukunyezwa
he,abuse,t1,w1,התעללות
hr,abuse,t1,w1,zlostavljanje
ro,abuse,t1,w1,abuz
el,abuse,t1,w1,κατάχρηση
th,abuse,t1,w1,การละเมิด
vi,abuse,t1,w1,lạm
ga,abuse,t1,w1,mí-úsáid
hu,abuse,t1,w1,visszaélés
hi,abuse,t1,w1,गाली
ps,abuse,t1,w1,ناوړه
ar,accident,t1,w1,حادث
fa,accident,t1,w1,تصادف
de,accident,t1,w1,unfall
en,accident,t1,w1,accident
nl,accident,t1,w1,ongeval
pt,accident,t1,w1,acidente
zh,accident,t1,w1,事故
es,accident,t1,w1,accidente
da,accident,t1,w1,ulykke
fi,accident,t1,w1,onnettomuus
fr,accident,t1,w1,accident
id,accident,t1,w1,kecelakaan
it,accident,t1,w1,incidente
ja,accident,t1,w1,事故
ko,accident,t1,w1,사고
ms,accident,t1,w1,kemalangan
no,accident,t1,w1,ulykke
tl,accident,t1,w1,aksidente
pl,accident,t1,w1,wypadek
ru,accident,t1,w1,авария
sv,accident,t1,w1,olycka
tr,accident,t1,w1,kaza
zu,accident,t1,w1,ingozi
he,accident,t1,w1,תְאוּנָה
hr,accident,t1,w1,nesreća
ro,accident,t1,w1,accident
el,accident,t1,w1,ατύχημα
th,accident,t1,w1,อุบัติเหตุ
vi,accident,t1,w1,tai
ga,accident,t1,w1,timpiste
hu,accident,t1,w1,baleset
hi,accident,t1,w1,दुर्घटना
ps,accident,t1,w1,حادثه
ar,agony,t1,w1,سكرة
fa,agony,t1,w1,آکنه
de,agony,t1,w1,qual
en,agony,t1,w1,agony
nl,agony,t1,w1,doodsangst
pt,agony,t1,w1,agonia
zh,agony,t1,w1,痛苦
es,agony,t1,w1,agonía
da,agony,t1,w1,smerte
fi,agony,t1,w1,tuska
fr,agony,t1,w1,agonie
id,agony,t1,w1,penderitaan
it,agony,t1,w1,agonia
ja,agony,t1,w1,苦しみ
ko,agony,t1,w1,고뇌
ms,agony,t1,w1,kesakitan
no,agony,t1,w1,smerte
tl,agony,t1,w1,paghihirap
