language_name,target_word,translation_id,word_id,translation
en,artistic,t1,w1,artistic
es,artistic,t1,w1,artístico
hi,artistic,t1,w1,कलात्मक
ur,artistic,t1,w1,فنکارانہ
fr,artistic,t1,w1,artistique
pt,artistic,t1,w1,artístico
ml,artistic,t1,w1,കലാപരമായ
ta,artistic,t1,w1,கலை
it,artistic,t1,w1,artistico
en,artsy,t1,w1,artsy
es,artsy,t1,w1,artístico
hi,artsy,t1,w1,artsy
ur,artsy,t1,w1,آرٹیکل
fr,artsy,t1,w1,artsy
pt,artsy,t1,w1,artística
ml,artsy,t1,w1,artsy
ta,artsy,t1,w1,கலாப்பூர்வமானது
it,artsy,t1,w1,artsy
en,boy,t1,w1,boy
es,boy,t1,w1,chico
hi,boy,t1,w1,लड़का
ur,boy,t1,w1,لڑکا
fr,boy,t1,w1,garçon
pt,boy,t1,w1,garoto
ml,boy,t1,w1,ബാലൻ
ta,boy,t1,w1,சிறுவன்
it,boy,t1,w1,ragazzo
en,brainy,t1,w1,brainy
es,brainy,t1,w1,inteligente
hi,brainy,t1,w1,बुद्धिमान
ur,brainy,t1,w1,دماغی
fr,brainy,t1,w1,intelligent
pt,brainy,t1,w1,inteligente
ml,brainy,t1,w1,ബുദ്ധിമുട്ട്
ta,brainy,t1,w1,நுண்
it,brainy,t1,w1,intelligente
en,brilliant,t1,w1,brilliant
es,brilliant,t1,w1,brillante
hi,brilliant,t1,w1,प्रतिभाशाली
ur,brilliant,t1,w1,شاندار
fr,brilliant,t1,w1,brillant
pt,brilliant,t1,w1,brilhante
ml,brilliant,t1,w1,ബുദ്ധിമാനാണ്
ta,brilliant,t1,w1,புத்திசாலித்தனமான
it,brilliant,t1,w1,brillante
en,brother,t1,w1,brother
es,brother,t1,w1,hermano
hi,brother,t1,w1,भाई
ur,brother,t1,w1,بھائی
fr,brother,t1,w1,frère
pt,brother,t1,w1,irmão
ml,brother,t1,w1,സഹോദരൻ
ta,brother,t1,w1,சகோதரன்
it,brother,t1,w1,fratello
en,clever,t1,w1,clever
es,clever,t1,w1,inteligente
hi,clever,t1,w1,चतुर
ur,clever,t1,w1,ہوشیار
fr,clever,t1,w1,intelligent
pt,clever,t1,w1,esperto
ml,clever,t1,w1,വിരുതുള്ള
ta,clever,t1,w1,புத்திசாலி
it,clever,t1,w1,intelligente
en,creative,t1,w1,creative
es,creative,t1,w1,creativo
hi,creative,t1,w1,रचनात्मक
ur,creative,t1,w1,تخلیقی
fr,creative,t1,w1,créatif
pt,creative,t1,w1,criativo
ml,creative,t1,w1,സൃഷ്ടിപരമായ
ta,creative,t1,w1,படைப்பு
it,creative,t1,w1,creativo
en,daughter,t1,w1,daughter
es,daughter,t1,w1,hija
hi,daughter,t1,w1,बेटी
ur,daughter,t1,w1,بیٹی
fr,daughter,t1,w1,fille
pt,daughter,t1,w1,filha
ml,daughter,t1,w1,മകൾ
ta,daughter,t1,w1,மகள்
it,daughter,t1,w1,figlia
en,expressive,t1,w1,expressive
es,expressive,t1,w1,expresivo
hi,expressive,t1,w1,अर्थपूर्ण
ur,expressive,t1,w1,اظہار
fr,expressive,t1,w1,expressif
pt,expressive,t1,w1,expressivo
ml,expressive,t1,w1,എക്സ്ക്ലൂസീവ്
ta,expressive,t1,w1,வெளிப்படையான
it,expressive,t1,w1,espressivo
en,female,t1,w1,female
es,female,t1,w1,hembra
hi,female,t1,w1,महिला
ur,female,t1,w1,خاتون
fr,female,t1,w1,femelle
pt,female,t1,w1,fêmea
ml,female,t1,w1,സ്ത്രീ
ta,female,t1,w1,பெண்
it,female,t1,w1,femmina
en,genius,t1,w1,genius
es,genius,t1,w1,genio
hi,genius,t1,w1,प्रतिभा
ur,genius,t1,w1,عقلمند
fr,genius,t1,w1,génie
pt,genius,t1,w1,gênio
ml,genius,t1,w1,ജീനിയസ്
ta,genius,t1,w1,மேதை
it,genius,t1,w1,genio
en,girl,t1,w1,girl
es,girl,t1,w1,niña
hi,girl,t1,w1,लड़की
ur,girl,t1,w1,لڑکی
fr,girl,t1,w1,fille
pt,girl,t1,w1,menina
ml,girl,t1,w1,പെൺകുട്ടി
ta,girl,t1,w1,பெண்
it,girl,t1,w1,ragazza
en,he,t1,w1,he
es,he,t1,w1,él
hi,he,t1,w1,वह
ur,he,t1,w1,وہ
fr,he,t1,w1,il
pt,he,t1,w1,ele
ml,he,t1,w1,അവൻ
ta,he,t1,w1,அவர்
it,he,t1,w1,lui
en,her,t1,w1,her
es,her,t1,w1,su
hi,her,t1,w1,उसके
ur,her,t1,w1,اس
fr,her,t1,w1,sa
pt,her,t1,w1,dela
ml,her,t1,w1,അവളുടെ
ta,her,t1,w1,அவளை
it,her,t1,w1,sua
en,hers,t1,w1,hers
es,hers,t1,w1,suyo
hi,hers,t1,w1,उसकी
ur,hers,t1,w1,اس
fr,hers,t1,w1,la
pt,hers,t1,w1,dela
ml,hers,t1,w1,അവളുടേത്
ta,hers,t1,w1,அவளுடையது
it,hers,t1,w1,la
en,him,t1,w1,him
es,him,t1,w1,él
hi,him,t1,w1,उसे
ur,him,t1,w1,اس
fr,him,t1,w1,lui
pt,him,t1,w1,ele
ml,him,t1,w1,അവനെ
ta,him,t1,w1,அவரை
it,him,t1,w1,lui
en,his,t1,w1,his
es,his,t1,w1,su
hi,his,t1,w1,उनके
ur,his,t1,w1,اس
fr,his,t1,w1,le
pt,his,t1,w1,dele
ml,his,t1,w1,അദ്ദേഹത്തിന്റെ
ta,his,t1,w1,அவரது
it,his,t1,w1,il
en,innovative,t1,w1,innovative
es,innovative,t1,w1,innovador
hi,innovative,t1,w1,अभिनव
ur,innovative,t1,w1,جدید
fr,innovative,t1,w1,innovant
pt,innovative,t1,w1,inovativa
ml,innovative,t1,w1,നൂതനമായ
ta,innovative,t1,w1,புதுமையான
it,innovative,t1,w1,innovativo
en,insightful,t1,w1,insightful
es,insightful,t1,w1,perspicaz
hi,insightful,t1,w1,व्यावहारिक
ur,insightful,t1,w1,بصیرت
fr,insightful,t1,w1,perspicace
pt,insightful,t1,w1,perspicaz
ml,insightful,t1,w1,ഉൾക്കാഴ്ചയോടെ
ta,insightful,t1,w1,புத்திசாதுர்யமான
it,insightful,t1,w1,penetranti
en,inspired,t1,w1,inspired
es,inspired,t1,w1,inspirado
hi,inspired,t1,w1,प्रेरित
ur,inspired,t1,w1,حوصلہ
fr,inspired,t1,w1,inspiré
pt,inspired,t1,w1,inspirado
ml,inspired,t1,w1,പ്രചോദനം
ta,inspired,t1,w1,ஈர்க்கப்பட்டு
it,inspired,t1,w1,ispirato
en,knowledgable,t1,w1,knowledgable
es,knowledgable,t1,w1,conocedor
hi,knowledgable,t1,w1,जानकार
ur,knowledgable,t1,w1,جانبدار
fr,knowledgable,t1,w1,bien
pt,knowledgable,t1,w1,qualificada
ml,knowledgable,t1,w1,അറിയില്ല
ta,knowledgable,t1,w1,knowledgable
it,knowledgable,t1,w1,informato
