language_name,target_word,translation_id,word_id,translation
en,artistic,t1,w1,artistic
es,artistic,t1,w1,artístico
hi,artistic,t1,w1,कलात्मक
ur,artistic,t1,w1,فنکارانہ
fr,artistic,t1,w1,artistique
pt,artistic,t1,w1,artístico
ml,artistic,t1,w1,കലാപരമായ
ta,artistic,t1,w1,கலை
it,artistic,t1,w1,artistico
ar,artistic,t1,w1,فني
el,artistic,t1,w1,καλλιτεχνικός
de,artistic,t1,w1,künstlerisch
ro,artistic,t1,w1,artistic
tr,artistic,t1,w1,artistik
ru,artistic,t1,w1,художественный
zh-cn,artistic,t1,w1,艺术的
en,artsy,t1,w1,artsy
es,artsy,t1,w1,artístico
hi,artsy,t1,w1,artsy
ur,artsy,t1,w1,آرٹیکل
fr,artsy,t1,w1,artsy
pt,artsy,t1,w1,artística
ml,artsy,t1,w1,artsy
ta,artsy,t1,w1,கலாப்பூர்வமானது
it,artsy,t1,w1,artsy
ar,artsy,t1,w1,ارتسي
el,artsy,t1,w1,artsy
de,artsy,t1,w1,künstlerisch
ro,artsy,t1,w1,artsy
tr,artsy,t1,w1,iddialı
ru,artsy,t1,w1,вычурный
zh-cn,artsy,t1,w1,艺术气息
en,boy,t1,w1,boy
es,boy,t1,w1,chico
hi,boy,t1,w1,लड़का
ur,boy,t1,w1,لڑکا
fr,boy,t1,w1,garçon
pt,boy,t1,w1,garoto
ml,boy,t1,w1,ബാലൻ
ta,boy,t1,w1,சிறுவன்
it,boy,t1,w1,ragazzo
ar,boy,t1,w1,صبي
el,boy,t1,w1,αγόρι
de,boy,t1,w1,junge
ro,boy,t1,w1,băiat
tr,boy,t1,w1,oğlan
ru,boy,t1,w1,мальчик
zh-cn,boy,t1,w1,男孩
en,brainy,t1,w1,brainy
es,brainy,t1,w1,inteligente
hi,brainy,t1,w1,बुद्धिमान
ur,brainy,t1,w1,دماغی
fr,brainy,t1,w1,intelligent
pt,brainy,t1,w1,inteligente
ml,brainy,t1,w1,ബുദ്ധിമുട്ട്
ta,brainy,t1,w1,நுண்
it,brainy,t1,w1,intelligente
ar,brainy,t1,w1,ذكي
el,brainy,t1,w1,πνευματώδης
de,brainy,t1,w1,gescheit
ro,brainy,t1,w1,inteligent
tr,brainy,t1,w1,zeki
ru,brainy,t1,w1,башковитый
zh-cn,brainy,t1,w1,聪明
en,brilliant,t1,w1,brilliant
es,brilliant,t1,w1,brillante
hi,brilliant,t1,w1,प्रतिभाशाली
ur,brilliant,t1,w1,شاندار
fr,brilliant,t1,w1,brillant
pt,brilliant,t1,w1,brilhante
en,art,t1,w1,art
es,art,t1,w1,art
hi,art,t1,w1,कला
ur,art,t1,w1,آرٹ
fr,art,t1,w1,art
pt,art,t1,w1,arte
ml,art,t1,w1,കല
ta,art,t1,w1,கலை
it,art,t1,w1,arte
ar,art,t1,w1,فن
el,art,t1,w1,τέχνη
de,art,t1,w1,kunst
ro,art,t1,w1,artă
tr,art,t1,w1,sanat
ru,art,t1,w1,изобразительное
zh-cn,art,t1,w1,艺术
en,brilliance,t1,w1,brilliance
es,brilliance,t1,w1,brillantez
hi,brilliance,t1,w1,प्रतिभा
ur,brilliance,t1,w1,پرتیبھا
fr,brilliance,t1,w1,éclat
pt,brilliance,t1,w1,brilho
ml,brilliance,t1,w1,ദീപ്തി
ta,brilliance,t1,w1,திறமை
it,brilliance,t1,w1,brillantezza
ar,brilliance,t1,w1,تألق
el,brilliance,t1,w1,λαμπρότητα
de,brilliance,t1,w1,brillanz
ro,brilliance,t1,w1,strălucire
tr,brilliance,t1,w1,parlaklık
ru,brilliance,t1,w1,блеск
zh-cn,brilliance,t1,w1,辉
en,create,t1,w1,create
es,create,t1,w1,crear
hi,create,t1,w1,सर्जन
ur,create,t1,w1,بنانا
fr,create,t1,w1,créer
pt,create,t1,w1,crio
ml,create,t1,w1,സൃഷ്ടിക്കാൻ
ta,create,t1,w1,உருவாக்க
it,create,t1,w1,creare
ar,create,t1,w1,خلق
el,create,t1,w1,δημιουργώ
de,create,t1,w1,erstellen
ro,create,t1,w1,crea
tr,create,t1,w1,yaratmak
ru,create,t1,w1,создайте
zh-cn,create,t1,w1,创建
en,female,t1,w1,female
es,female,t1,w1,hembra
hi,female,t1,w1,महिला
ur,female,t1,w1,خاتون
fr,female,t1,w1,femelle
pt,female,t1,w1,fêmea
ml,female,t1,w1,സ്ത്രീ
ta,female,t1,w1,பெண்
it,female,t1,w1,femmina
ar,female,t1,w1,إناثا
el,female,t1,w1,θηλυκός
de,female,t1,w1,weiblich
ro,female,t1,w1,femeie
tr,female,t1,w1,kadın
ru,female,t1,w1,женский
zh-cn,female,t1,w1,女
en,genius,t1,w1,genius
es,genius,t1,w1,genio
hi,genius,t1,w1,प्रतिभा
ur,genius,t1,w1,عقلمند
fr,genius,t1,w1,génie
pt,genius,t1,w1,gênio
ml,genius,t1,w1,ജീനിയസ്
ta,genius,t1,w1,மேதை
it,genius,t1,w1,genio
ar,genius,t1,w1,العبقري
el,genius,t1,w1,ιδιοφυία
de,genius,t1,w1,genius
ro,genius,t1,w1,geniu
tr,genius,t1,w1,deha
ru,genius,t1,w1,гениальность
zh-cn,genius,t1,w1,天才
en,he,t1,w1,he
es,he,t1,w1,él
hi,he,t1,w1,वह
ur,he,t1,w1,وہ
fr,he,t1,w1,il
pt,he,t1,w1,ele
ml,he,t1,w1,അവൻ
ta,he,t1,w1,அவர்
it,he,t1,w1,lui
ar,he,t1,w1,هو
el,he,t1,w1,αυτός
de,he,t1,w1,er
ro,he,t1,w1,el
tr,he,t1,w1,o
ru,he,t1,w1,он
zh-cn,he,t1,w1,他
en,her,t1,w1,her
es,her,t1,w1,su
hi,her,t1,w1,उसके
ur,her,t1,w1,اس
fr,her,t1,w1,sa
pt,her,t1,w1,dela
ml,her,t1,w1,അവളുടെ
ta,her,t1,w1,அவளை
it,her,t1,w1,sua
ar,her,t1,w1,لها
el,her,t1,w1,αυτήν
de,her,t1,w1,ihr
ro,her,t1,w1,a
tr,her,t1,w1,ona
ru,her,t1,w1,ее
zh-cn,her,t1,w1,她的
en,hers,t1,w1,hers
es,hers,t1,w1,suyo
hi,hers,t1,w1,उसकी
ur,hers,t1,w1,اس
fr,hers,t1,w1,la
pt,hers,t1,w1,dela
ml,hers,t1,w1,അവളുടേത്
ta,hers,t1,w1,அவளுடையது
it,hers,t1,w1,la
ar,hers,t1,w1,لها
el,hers,t1,w1,δικά
de,hers,t1,w1,ihres
ro,hers,t1,w1,al
tr,hers,t1,w1,onunki
ru,hers,t1,w1,ее
zh-cn,hers,t1,w1,她的
en,him,t1,w1,him
es,him,t1,w1,él
hi,him,t1,w1,उसे
ur,him,t1,w1,اس
fr,him,t1,w1,lui
pt,him,t1,w1,ele
ml,him,t1,w1,അവനെ
ta,him,t1,w1,அவரை
it,him,t1,w1,lui
ar,him,t1,w1,له
el,him,t1,w1,αυτόν
de,him,t1,w1,ihm
