country_name,measure,bin,n
Afghanistan,es_iat_sex_age_order_explicit_resid,-5.5,1
Afghanistan,es_iat_sex_age_order_explicit_resid,-4.5,6
Afghanistan,es_iat_sex_age_order_explicit_resid,-3.5,10
Afghanistan,es_iat_sex_age_order_explicit_resid,-2.75,1
Afghanistan,es_iat_sex_age_order_explicit_resid,-2.5,16
Afghanistan,es_iat_sex_age_order_explicit_resid,-1.75,13
Afghanistan,es_iat_sex_age_order_explicit_resid,-1.5,266
Afghanistan,es_iat_sex_age_order_explicit_resid,-0.75,4
Afghanistan,es_iat_sex_age_order_explicit_resid,-0.5,145
Afghanistan,es_iat_sex_age_order_explicit_resid,0.25,4
Afghanistan,es_iat_sex_age_order_explicit_resid,0.5,156
Afghanistan,es_iat_sex_age_order_explicit_resid,1.25,1
Afghanistan,es_iat_sex_age_order_explicit_resid,1.5,70
Afghanistan,es_iat_sex_age_order_explicit_resid,2.25,4
Afghanistan,es_iat_sex_age_order_explicit_resid,2.5,69
Afghanistan,es_iat_sex_age_order_explicit_resid,3.25,2
Afghanistan,es_iat_sex_age_order_explicit_resid,3.5,37
Afghanistan,es_iat_sex_age_order_explicit_resid,4.25,1
Afghanistan,es_iat_sex_age_order_explicit_resid,4.5,42
Afghanistan,es_iat_sex_age_order_explicit_resid,NA,15
Afghanistan,es_iat_sex_age_order_implicit_resid,-1.25,5
Afghanistan,es_iat_sex_age_order_implicit_resid,-1,8
Afghanistan,es_iat_sex_age_order_implicit_resid,-0.75,39
Afghanistan,es_iat_sex_age_order_implicit_resid,-0.5,90
Afghanistan,es_iat_sex_age_order_implicit_resid,-0.25,159
Afghanistan,es_iat_sex_age_order_implicit_resid,-0,245
Afghanistan,es_iat_sex_age_order_implicit_resid,0.25,216
Afghanistan,es_iat_sex_age_order_implicit_resid,0.5,83
Afghanistan,es_iat_sex_age_order_implicit_resid,0.75,17
Afghanistan,es_iat_sex_age_order_implicit_resid,1,1
Afghanistan,explicit_dif,-4,1
Afghanistan,explicit_dif,-3,6
Afghanistan,explicit_dif,-2,10
Afghanistan,explicit_dif,-1,17
Afghanistan,explicit_dif,0,279
Afghanistan,explicit_dif,1,149
Afghanistan,explicit_dif,2,160
Afghanistan,explicit_dif,3,71
Afghanistan,explicit_dif,4,73
Afghanistan,explicit_dif,5,39
Afghanistan,explicit_dif,6,43
Afghanistan,explicit_dif,NA,15
Afghanistan,overall_iat_D_score,-1,1
Afghanistan,overall_iat_D_score,-0.75,8
Afghanistan,overall_iat_D_score,-0.5,16
Afghanistan,overall_iat_D_score,-0.25,56
Afghanistan,overall_iat_D_score,-0,131
Afghanistan,overall_iat_D_score,0.25,196
Afghanistan,overall_iat_D_score,0.5,237
Afghanistan,overall_iat_D_score,0.75,167
Afghanistan,overall_iat_D_score,1,48
Afghanistan,overall_iat_D_score,1.25,3
Argentina,es_iat_sex_age_order_explicit_resid,-4.5,1
Argentina,es_iat_sex_age_order_explicit_resid,-3.75,1
Argentina,es_iat_sex_age_order_explicit_resid,-3.5,2
Argentina,es_iat_sex_age_order_explicit_resid,-2.75,1
