corr,data_type,ci_lower,ci_upper,mean
UK Language Bias ~ UK Behavioral Bias,confirmatory,0.05448328325683938,0.09804635276746285,0.07565448931940387
UK Language Bias ~ UK Behavioral Bias,exploratory,0.08810700607882879,0.23832207695914664,0.163790666755727
UK Language Bias ~ US Behavioral Bias,confirmatory,-0.05188773426379541,-0.00913412947180324,-0.02467269485473737
UK Language Bias ~ US Behavioral Bias,exploratory,-0.047985253870799834,-0.0012032530951195837,-0.022170275525412793
US Language Bias ~ UK Language Bias,confirmatory,0.10389466488472124,0.22573028286894817,0.1648124738768347
US Language Bias ~ UK Language Bias,exploratory,0.10448675699298442,0.22228627466270492,0.1648124738768347
US Language Bias ~ UK Behavioral Bias,confirmatory,-0.0054829735829112535,0.10521337136872662,0.04493867508270228
US Language Bias ~ UK Behavioral Bias,exploratory,-0.13912465595646406,0.1810465256393933,0.01294442113605355
US Language Bias ~ US Behavioral Bias,confirmatory,0.026246482504051243,0.09025680618063384,0.05622343709118739
US Language Bias ~ US Behavioral Bias,exploratory,0.03439169215502281,0.08696024042641666,0.058184587644935185
Behavioral Bias Difference ~ Language Bias Difference,confirmatory,0.1486046284287603,0.3000797623548588,0.22370691524230668
Behavioral Bias Difference ~ Language Bias Difference,exploratory,0.19093405041970027,0.3104016751277835,0.25334636733468135
UK Behavioral Bias ~ US Behavioral Bias,confirmatory,0.9196913646007643,0.9196913646007643,0.9196913646007643
UK Behavioral Bias ~ US Behavioral Bias,exploratory,0.7075562522232125,0.7075562522232125,0.7075562522232125
