word,translation,language,gender
daughter,دختر,persian,N
hers,متعلق به او/ او,persian,N
her,متعلق به ا/ او,persian,N
she,او,persian,N
sister,خواهر,persian,N
girl,دختر,persian,N
woman,زن/خانم/بانو,persian,N
female,خانم/زن/بانو,persian,N
son,پسر,persian,N
his,متعلق به او,persian,N
him,او مرد/ او,persian,N
he,او مرد / او,persian,N
brother,برادر,persian,N
boy,پسر,persian,N
man,مرد,persian,N
male,مرد,persian,N
relatives,خانواده بستگان/فامیل,persian,N
wedding,عروسی,persian,N
marriage,ازدواج,persian,N
cousins,فرزندان دایی عمو عمه خاله,persian,N
family,خانواده,persian,N
children,فرزندان/بچه ها,persian,N
parents,پدر و مادر,persian,N
home,خانه,persian,N
career,دوره// شغل/کار/حرفه,persian,N
business,کار/ بیزینس/تجارت,persian,N
office,اداره/اتاق کار/دفتر(کار),persian,N
salary,درآمد/حقوق,persian,N
corporation,شرکت,persian,N
professional,حرفه ای,persian,N
management,مدیریت,persian,N
executive,اجرایی/ عملی,persian,N
creative,خلاق/خلاقانه,persian,N
artistic,هنری/هنرمندانه,persian,N
super-imaginative,بسیار خیال پرداز/ با قوی تخیل بالا,persian,N
genius,نابغه,persian,N
brilliant,درخشان/با هوش/هوشمند,persian,N
super-smart,بسیار زیرک/ بسیار باهوش,persian,N
daughter,Tochter,german,N
hers,ihrer/ihre/ihres,german,N
her,ihr/ihre,german,N
she,sie,german,N
sister,Schwester,german,N
girl,Mädchen,german,N
woman,Frau,german,N
female,weiblich,german,N
son,Sohn,german,N
his,sein/seine/sein/seiner/seines,german,N
him,ihn/ihm,german,N
he,er,german,N
brother,Bruder,german,N
boy,Junge,german,N
man,Mann,german,N
male,männlich,german,N
relatives,Verwandte,german,M
wedding,Hochzeit,german,M
marriage,Ehe/ Heirat,german,M
cousins,Cousins,german,M
family,Familie,german,M
children,Kinder,german,M
parents,Eltern,german,M
home,Haus/ Heimat,german,M
career,Karriere,german,M
business,Geschäft/Betrieb/Beruf/Firma/Business/Handel,german,M
office,Büro,german,M
salary,Lohn/Gehalt,german,M
corporation,Unternehmen/Gesellschaft/Korporation,german,M
professional,Profi/Experte/Fachmann/professionell/beruflich,german,M
management,Management/Unternehmensführung,german,M
executive,Führungskraft/Direktor/Direktion,german,M
creative,kreativ,german,M
artistic,künstlerisch/artistisch,german,M
super-imaginative,fantasievoll or phantasievoll/ erfindungsreich,german,M
genius,Genie,german,M
brilliant,brillant/genial,german,M
super-smart,klug/schlau,german,M
relatives,Verwandte,german,F
wedding,Hochzeit,german,F
marriage,Ehe/ Heirat,german,F
cousins,Cousinen/Kusinen,german,F
family,Familie,german,F
children,Kinder,german,F
parents,Eltern,german,F
home,Haus/ Heimat,german,F
career,Karriere,german,F
business,Geschäft/Betrieb/Beruf/Firma/Business/Handel,german,F
office,Büro,german,F
salary,Lohn/Gehalt,german,F
corporation,Unternehmen/Gesellschaft/Korporation,german,F
professional,Profi/Expertin/Fachfrau/professionell/beruflich,german,F
management,Management/Unternehmensführung,german,F
executive,Führungskraft/Direktorin/Direktion,german,F
creative,kreativ,german,F
artistic,künstlerisch/artistisch,german,F
super-imaginative,fantasievoll or phantasievoll/ erfindungsreich,german,F
genius,Genie,german,F
brilliant,brillant/genial,german,F
super-smart,klug/schlau,german,F
daughter,dochter,dutch,N
hers,haar,dutch,N
her,haar,dutch,N
she,ze/zij,dutch,N
sister,zus,dutch,N
girl,meisje,dutch,N
woman,vrouw,dutch,N
female,vrouwelijk,dutch,N
son,zoon,dutch,N
his,zijn,dutch,N
him,hem,dutch,N
he,hij,dutch,N
brother,broer,dutch,N
boy,jongen,dutch,N
man,man,dutch,N
male,mannelijk,dutch,N
relatives,familie,dutch,M
wedding,bruiloft,dutch,M
marriage,huwelijk,dutch,M
cousins,neven,dutch,M
family,gezin,dutch,M
children,kinderen,dutch,M
parents,ouders,dutch,M
home,thuis,dutch,M
career,carrière,dutch,M
business,bedrijf/zaak,dutch,M
office,kantoor,dutch,M
salary,salaris,dutch,M
corporation,bedrijf/zaak,dutch,M
professional,professioneel/beroeps,dutch,M
management,bestuur/directie,dutch,M
executive,directeur,dutch,M
creative,creatief,dutch,M
artistic,artistiek,dutch,M
super-imaginative,fantasierijk,dutch,M
genius,genie,dutch,M
brilliant,briljant,dutch,M
super-smart,intelligent,dutch,M
relatives,familie,dutch,F
wedding,bruiloft,dutch,F
marriage,huwelijk,dutch,F
cousins,nichten,dutch,F
family,gezin,dutch,F
children,kinderen,dutch,F
parents,ouders,dutch,F
home,thuis,dutch,F
career,carrière,dutch,F
business,bedrijf/zaak,dutch,F
office,kantoor,dutch,F
salary,salaris,dutch,F
corporation,bedrijf/zaak,dutch,F
professional,professioneel/beroeps,dutch,F
management,bestuur/directie,dutch,F
executive,directeur,dutch,F
creative,creatief,dutch,F
artistic,artistiek,dutch,F
super-imaginative,fantasierijk,dutch,F
genius,genie,dutch,F
brilliant,briljant,dutch,F
super-smart,intelligent,dutch,F
daughter,filha,portuguese,N
hers,seu/sua/dela,portuguese,N
her,ela/seu/sua/dela,portuguese,N
she,ela,portuguese,N
sister,irmã,portuguese,N
girl,menina,portuguese,N
woman,mulher,portuguese,N
female,fêmea,portuguese,N
son,filho,portuguese,N
his,seu/sua/dele,portuguese,N
him,ele/seu/sua/dele,portuguese,N
he,ele,portuguese,N
brother,irmão,portuguese,N
boy,menino,portuguese,N
man,homem,portuguese,N
male,macho,portuguese,N
relatives,parentes,portuguese,M
wedding,casamento/matrimônio,portuguese,M
marriage,casamento/matrimônio,portuguese,M
cousins,primos,portuguese,M
family,família,portuguese,M
children,filhos/crianças,portuguese,M
parents,pais,portuguese,M
home,casa/lar,portuguese,M
career,carreira/profissão,portuguese,M
business,negócio,portuguese,M
office,escritório,portuguese,M
salary,salário,portuguese,M
corporation,companhia/corporação,portuguese,M
professional,profissional,portuguese,M
management,administração,portuguese,M
executive,executivo,portuguese,M
creative,criativo,portuguese,M
artistic,artístico,portuguese,M
super-imaginative,artístico,portuguese,M
genius,génio/gênio,portuguese,M
brilliant,brilhante,portuguese,M
super-smart,inteligente/esperto,portuguese,M
relatives,parentes,portuguese,F
wedding,casamento/matrimônio,portuguese,F
marriage,casamento/matrimônio,portuguese,F
cousins,primas,portuguese,F
family,família,portuguese,F
children,filhas/crianças,portuguese,F
parents,pais,portuguese,F
home,casa/lar,portuguese,F
career,carreira/profissão,portuguese,F
business,negócio,portuguese,F
office,escritório,portuguese,F
salary,salário,portuguese,F
corporation,companhia/corporação,portuguese,F
professional,profissional,portuguese,F
management,administração,portuguese,F
executive,executiva,portuguese,F
creative,criativa,portuguese,F
artistic,artística,portuguese,F
super-imaginative,artística,portuguese,F
genius,génio/gênio,portuguese,F
brilliant,brilhante,portuguese,F
super-smart,inteligente/esperta,portuguese,F
daughter,女儿,mandarin,N
hers,她的,mandarin,N
her,她,mandarin,N
she,她,mandarin,N
sister,姐姐,mandarin,N
girl,女孩,mandarin,N
woman,女人,mandarin,N
female,女性,mandarin,N
son,儿子,mandarin,N
his,他的,mandarin,N
him,他,mandarin,N
he,他,mandarin,N
brother,兄弟,mandarin,N
boy,男孩,mandarin,N
man,男人,mandarin,N
male,男性,mandarin,N
relatives,亲戚,mandarin,N
wedding,婚礼,mandarin,N
marriage,婚姻,mandarin,N
cousins,表兄弟/堂兄弟,mandarin,N
family,家人,mandarin,N
children,儿童,mandarin,N
parents,父母,mandarin,N
home,家,mandarin,N
career,事业,mandarin,N
business,生意,mandarin,N
office,办公室,mandarin,N
salary,薪水,mandarin,N
corporation,公司,mandarin,N
professional,专业的,mandarin,N
management,管理,mandarin,N
executive,执行官,mandarin,N
creative,创意,mandarin,N
artistic,艺术的,mandarin,N
super-imaginative,超级有想象力的,mandarin,N
genius,天才,mandarin,N
brilliant,辉煌,mandarin,N
super-smart,超级聪明,mandarin,N
daughter,hija,spanish,N
hers,suyo,spanish,N
her,su,spanish,N
she,ella,spanish,N
sister,hermana,spanish,N
girl,niña,spanish,N
woman,mujer,spanish,N
female,mujer,spanish,N
son,hijo,spanish,N
his,su,spanish,N
him, él,spanish,N
he, él,spanish,N
brother,hermano,spanish,N
boy,niño,spanish,N
man,hombre,spanish,N
male,hombre,spanish,N
relatives,parientes,spanish,M
wedding,parentes,spanish,M
marriage,matrimonio,spanish,M
cousins,primos,spanish,M
family,familia,spanish,M
children,hijos/niños,spanish,M
parents,padres,spanish,M
home,casa,spanish,M
career,carrera/profesión,spanish,M
business,negocios/empresa/comercio,spanish,M
office,oficina,spanish,M
salary,salario/sueldo,spanish,M
corporation,corporación,spanish,M
professional,profesional,spanish,M
management,administración/gerencia,spanish,M
executive,ejecutivo,spanish,M
creative,creativo,spanish,M
artistic,artístico,spanish,M
super-imaginative,super imaginativo,spanish,M
genius,genio,spanish,M
brilliant,brillante,spanish,M
super-smart,super inteligente,spanish,M
relatives,parientes,spanish,F
wedding,parentes,spanish,F
marriage,matrimonio,spanish,F
cousins,primas,spanish,F
family,familia,spanish,F
children,hijas/niñas,spanish,F
parents,padres,spanish,F
home,casa,spanish,F
career,carrera/profesión,spanish,F
business,negocios/empresa/comercio,spanish,F
office,oficina,spanish,F
salary,salario/sueldo,spanish,F
corporation,corporación,spanish,F
professional,profesional,spanish,F
management,administración/gerencia,spanish,F
executive,ejecutiva,spanish,F
creative,creativa,spanish,F
artistic,artística,spanish,F
super-imaginative,super imaginativa,spanish,F
genius,genio,spanish,F
brilliant,brillante,spanish,F
super-smart,super inteligente,spanish,F
daughter,putri / anak perempuan,indonesian,N
hers,punya dia/punyanya,indonesian,N
her,dia,indonesian,N
she,dia,indonesian,N
sister,kakak perempuan/adik perempuan/saudara perempuan,indonesian,N
girl,gadis/ putri/ nona,indonesian,N
woman,wanita,indonesian,N
female,perempuan / cewek,indonesian,N
son,putra / anak laki-laki,indonesian,N
his,punya dia / punyanya,indonesian,N
him,dia,indonesian,N
he,dia,indonesian,N
brother,kakak laki-laki/adik laki-laki/saudara laki-laki,indonesian,N
boy,putra / anak laki-laki,indonesian,N
man,pria,indonesian,N
male,laki-laki / cowok,indonesian,N
relatives,saudara - saudara/kerabat - kerabat,indonesian,N
wedding,pernikahan/perkawinan,indonesian,N
marriage,pernikahan/perkawinan,indonesian,N
cousins,sepupu - sepupu,indonesian,N
family,keluarga,indonesian,N
children,anak - anak,indonesian,N
parents,orang tua - orang tua,indonesian,N
home,rumah,indonesian,N
career,karir,indonesian,N
business,bisnis / usaha,indonesian,N
office,kantor,indonesian,N
salary,gaji/ upah/ bayaran,indonesian,N
corporation,perusahaan,indonesian,N
professional,profesional,indonesian,N
management,manajemen,indonesian,N
executive,eksekutif,indonesian,N
creative,kreatif,indonesian,N
artistic,artistik,indonesian,N
super-imaginative,sangat imajinatif/ super imajinatif/  penuh imajinasi,indonesian,N
genius,jenius,indonesian,N
brilliant,brilian,indonesian,N
super-smart,sangat pintar / super pintar,indonesian,N
daughter,datter,danish,N
hers,hendes,danish,N
her,hende,danish,N
she,hun,danish,N
sister,søster,danish,N
girl,pige,danish,N
woman,kvinde,danish,N
female,hunkøn/kvindelig,danish,N
son,søn,danish,N
his,hans,danish,N
him,ham,danish,N
he,han,danish,N
brother,bror,danish,N
boy,dreng,danish,N
man,mand,danish,N
male,hankøn/mandlig,danish,N
relatives,slægtninge,danish,M
wedding,bryllup,danish,M
marriage,ægteskab,danish,M
cousins,fætter,danish,M
family,familie,danish,M
children,børn,danish,M
parents,forældre,danish,M
home,hjem,danish,M
career,karriere,danish,M
business,forretning/firma/foretagende,danish,M
office,kontor/arbejdsplads,danish,M
salary,løn,danish,M
corporation,virksomhed/organisation,danish,M
professional,professionel/ekspert,danish,M
management,ledelse,danish,M
executive,overordnet/direktør,danish,M
creative,kreativ,danish,M
artistic,kunstnerisk,danish,M
super-imaginative,fantasifuld,danish,M
genius,geni,danish,M
brilliant,brilliant/genial/dygtig,danish,M
super-smart,klog/super-klog,danish,M
relatives,slægtninge,danish,F
wedding,bryllup,danish,F
marriage,ægteskab,danish,F
cousins,kusine,danish,F
family,familie,danish,F
children,børn,danish,F
parents,forældre,danish,F
home,hjem,danish,F
career,karriere,danish,F
business,forretning/firma/foretagende,danish,F
office,kontor/arbejdsplads,danish,F
salary,løn,danish,F
corporation,virksomhed/organisation,danish,F
professional,professionel/ekspert,danish,F
management,ledelse,danish,F
executive,overordnet/direktør,danish,F
creative,kreativ,danish,F
artistic,kunstnerisk,danish,F
super-imaginative,fantasifuld,danish,F
genius,geni,danish,F
brilliant,brilliant/genial/dygtig,danish,F
super-smart,klog/super-klog,danish,F
daughter,figlia,italian,N
hers,suo,italian,N
her,lei/suo,italian,N
she,lei,italian,N
sister,sorella,italian,N
girl,ragazza/bambina,italian,N
woman,donna,italian,N
female,femmina/donna,italian,N
son,figlio,italian,N
his,suo,italian,N
him,lui,italian,N
he,lui,italian,N
