occupation,mean_gender_rating,language
accountants,0.37,english
acrobats,0.57,english
acupuncturists,0.59,english
administrative workers,0.59,english
admirals,0.25,english
aerobics instructors,0.7,english
air traffic controllers,0.32,english
alcoholics,0.41,english
anglers,0.28,english
animators,0.39,english
antique dealers,0.38,english
apprentices,0.4,english
architects,0.36,english
archivists,0.44,english
artists,0.51,english
assistants,0.65,english
assistant chefs,0.44,english
astrologists,0.37,english
astronauts,0.23,english
astronomers,0.32,english
athletes,0.44,english
au pairs,0.77,english
auctioneers,0.31,english
authors,0.51,english
babies,0.52,english
babysitters,0.78,english
bakers,0.49,english
ballet dancers,0.71,english
bank clerks,0.43,english
bankers,0.32,english
barbers,0.2,english
bartenders,0.47,english
baseball players,0.2,english
basketball players,0.23,english
bass players,0.35,english
beauticians,0.84,english
bikers,0.3,english
bingo players,0.7,english
biologists,0.46,english
birth attendants,0.75,english
blacksmiths,0.21,english
bookkeepers,0.48,english
bosses,0.37,english
boutique owners,0.77,english
boxers,0.21,english
bricklayers,0.16,english
building contractors,0.21,english
bus drivers,0.25,english
butchers,0.21,english
butlers,0.2,english
cabinet ministers,0.28,english
cake decorators,0.72,english
camera operators,0.36,english
campers,0.41,english
canteen assistants,0.72,english
car mechanics,0.21,english
card players,0.34,english
care workers,0.72,english
caregivers,0.71,english
caretakers,0.31,english
carpenters,0.25,english
cartoonists,0.36,english
cashiers,0.59,english
cat owners,0.68,english
caterers,0.58,english
celebrities,0.54,english
chair persons,0.37,english
chamber-maids,0.82,english
cheerleaders,0.83,english
chefs,0.37,english
chemists,0.46,english
children,0.51,english
child educators,0.67,english
child-minders,0.78,english
chiropractors,0.46,english
chocolate lovers,0.7,english
choreographers,0.59,english
cinema goers,0.53,english
clairvoyants,0.64,english
cleaners,0.71,english
clerks,0.42,english
clients,0.51,english
climbers,0.34,english
clinical psychologists,0.58,english
clowns,0.22,english
colonels,0.23,english
comedians,0.3,english
company directors,0.33,english
composers,0.35,english
computer programmers,0.26,english
computer specialists,0.26,english
computer technicians,0.26,english
conquerors,0.23,english
conservationists,0.5,english
construction workers,0.19,english
cooks,0.5,english
coordinators,0.5,english
counseling psychologists,0.69,english
counsellors,0.65,english
couriers,0.34,english
court reporters,0.46,english
craft workers,0.52,english
crane operators,0.19,english
criminals,0.31,english
cult members,0.42,english
curators,0.44,english
customers,0.58,english
customs inspectors,0.4,english
customs officers,0.38,english
cyclists,0.41,english
dance instructors,0.7,english
dancers,0.65,english
data processors,0.38,english
database administrators,0.47,english
deacons,0.37,english
dental hygienists,0.57,english
dental technicians,0.5,english
dentists,0.38,english
deputies,0.41,english
designers,0.53,english
detectives,0.33,english
dieticians,0.65,english
diplomats,0.36,english
doctors of philosophy,0.37,english
dog owners,0.49,english
door keepers,0.29,english
dressmakers,0.75,english
drivers,0.38,english
driving instructors,0.35,english
drug addicts,0.43,english
drug dealers,0.24,english
drummers,0.26,english
economists,0.33,english
editors,0.47,english
educational psychologists,0.63,english
electricians,0.21,english
embezzlers,0.37,english
engine-drivers,0.23,english
engineers,0.24,english
entertainers,0.46,english
environmentalists,0.54,english
estate agents,0.45,english
executives,0.36,english
executors,0.26,english
exercise instructors,0.49,english
exotic dancers,0.8,english
explorers,0.33,english
factory managers,0.28,english
fans,0.56,english
farmers,0.27,english
fashion models,0.7,english
fencers,0.36,english
fig. skaters,0.67,english
film directors,0.31,english
film stars,0.51,english
financial advisers,0.36,english
financial analysts,0.35,english
firefighters,0.21,english
flight attendants,0.71,english
florists,0.77,english
flute players,0.64,english
football coaches,0.19,english
football players,0.21,english
forensic psychologists,0.48,english
forest rangers,0.25,english
fortune tellers,0.75,english
funeral directors,0.32,english
game wardens,0.33,english
gardeners,0.43,english
generals,0.25,english
general managers,0.42,english
geologists,0.42,english
goalkeepers,0.2,english
goldsmiths,0.33,english
golfers,0.27,english
government officials,0.34,english
governors,0.33,english
graphic designers,0.42,english
groundkeepers,0.27,english
groupies,0.73,english
guards,0.23,english
guitar players,0.37,english
gymnasts,0.64,english
gynaecologists,0.5,english
hairdressers,0.7,english
heads of department,0.41,english
head teachers,0.49,english
health visitors,0.66,english
"heavy equipment operators""",0.15,english
historians,0.39,english
history professors,0.35,english
hitchhikers,0.37,english
homeless persons,0.33,english
