Country_original,2017 Rank,2017 Score,2017 Band,country_name
 Netherlands,1,71.45,Very High Proficiency, Netherlands
 Sweden,2,70.4,Very High Proficiency, Sweden
 Denmark,3,69.93,Very High Proficiency, Denmark
 Norway,4,67.77,Very High Proficiency, Norway
 Singapore,5,66.03,Very High Proficiency, Singapore
 Finland,6,65.83,Very High Proficiency, Finland
 Luxembourg,7,64.57,Very High Proficiency, Luxembourg
 South Africa,8,63.37,Very High Proficiency, South Africa
 Germany,9,62.35,High Proficiency, Germany
 Austria,10,62.18,High Proficiency, Austria
 Poland,11,62.07,High Proficiency, Poland
 Belgium,12,61.58,High Proficiency, Belgium
 Malaysia,13,61.07,High Proficiency, Malaysia
  Switzerland,14,60.95,High Proficiency, Switzerland
 Philippines,15,60.59,High Proficiency, Philippines
 Serbia,16,59.37,High Proficiency, Serbia
 Romania,17,59.13,High Proficiency, Romania
 Portugal,18,58.76,High Proficiency, Portugal
 Hungary,19,58.61,High Proficiency, Hungary
 Czech Republic,20,57.87,High Proficiency, Czech Republic
 Slovakia,21,57.63,High Proficiency, Slovakia
 Bulgaria,22,57.34,Moderate Proficiency, Bulgaria
 Greece,23,57.14,Moderate Proficiency, Greece
 Lithuania,24,57.08,Moderate Proficiency, Lithuania
 Argentina,25,56.51,Moderate Proficiency, Argentina
 Dominican Republic,26,56.31,Moderate Proficiency, Dominican Republic
 India,27,56.12,Moderate Proficiency, India
 Spain,28,56.06,Moderate Proficiency, Spain
 Hong Kong,29,55.81,Moderate Proficiency, Hong Kong
 South Korea,30,55.32,Moderate Proficiency, Republic of Korea
 Nigeria,31,54.74,Moderate Proficiency, Nigeria
 France,32,54.39,Moderate Proficiency, France
 Italy,33,54.19,Moderate Proficiency, Italy
 Vietnam,34,53.43,Moderate Proficiency, Vietnam
 Costa Rica,35,53.13,Moderate Proficiency, Costa Rica
 China,36,52.45,Low Proficiency, China
 Japan,37,52.34,Low Proficiency, Japan
 Russia,38,52.19,Low Proficiency, Russian Federation
 Indonesia,39,52.15,Low Proficiency, Indonesia
 Taiwan,40,52.04,Low Proficiency, Taiwan
 Brazil,41,51.92,Low Proficiency, Brazil
 Macau,42,51.87,Low Proficiency, Macau
 Uruguay,43,51.73,Low Proficiency, Uruguay
 Mexico,44,51.57,Low Proficiency, Mexico
 Chile,45,51.5,Low Proficiency, Chile
 Bangladesh,46,50.96,Low Proficiency, Bangladesh
 Ukraine,47,50.91,Low Proficiency, Ukraine
 Cuba,48,50.83,Low Proficiency, Cuba
 Panama,49,50.68,Low Proficiency, Panama
 Peru,50,50.5,Low Proficiency, Peru
 Colombia,51,49.97,Low Proficiency, Colombia
 Pakistan,52,49.88,Low Proficiency, Pakistan
 Thailand,53,49.78,Low Proficiency, Thailand
 Guatemala,54,49.52,Low Proficiency, Guatemala
 Ecuador,55,49.42,Low Proficiency, Ecuador
 Tunisia,56,49.01,Low Proficiency, Tunisia
 United Arab Emirates,57,48.88,Low Proficiency, United Arab Emirates
 Syria,58,48.49,Very Low Proficiency, Syria
 Qatar,59,48.19,Very Low Proficiency, Qatar
 Morocco,60,47.91,Very Low Proficiency, Morocco
 Sri Lanka,61,47.84,Very Low Proficiency, Sri Lanka
 Turkey,62,47.79,Very Low Proficiency, Turkey
 Jordan,63,47.4,Very Low Proficiency, Jordan
 Azerbaijan,64,46.97,Very Low Proficiency, Azerbaijan
 Iran,65,46.6,Very Low Proficiency, Iran
 Egypt,66,46.51,Very Low Proficiency, Egypt
 Kazakhstan,67,45.95,Very Low Proficiency, Kazakhstan
 Venezuela,68,45.71,Very Low Proficiency, Venezuela
 El Salvador,69,45.7,Very Low Proficiency, El Salvador
 Oman,70,44.48,Very Low Proficiency, Oman
 Mongolia,71,44.21,Very Low Proficiency, Mongolia
 Saudi Arabia,72,43.98,Very Low Proficiency, Saudi Arabia
 Angola,73,43.49,Very Low Proficiency, Angola
 Kuwait,74,43.14,Very Low Proficiency, Kuwait
 Cameroon,75,42.45,Very Low Proficiency, Cameroon
 Algeria,76,42.11,Very Low Proficiency, Algeria
 Cambodia,77,40.86,Very Low Proficiency, Cambodia
 Libya,78,38.61,Very Low Proficiency, Libya
 Iraq,79,38.12,Very Low Proficiency, Iraq
 Laos,80,37.56,Very Low Proficiency, Laos
