"Gender Development Index (GDI)"
"HDI Rank (2015)","Country","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015",""
"169"," Afghanistan","0.282","","0.481","","0.580","","0.594","","0.602","","0.607","","0.609","","0.609",""
"75"," Albania","0.936","","0.944","","0.959","","0.957","","0.960","","0.960","","0.960","","0.959",""
"83"," Algeria","0.788","","0.815","","0.845","","0.845","","0.845","","0.847","","0.849","","0.854",""
"45"," Argentina","0.981","","1.001","","0.998","","0.987","","0.989","","0.989","","0.983","","0.982",""
"84"," Armenia","0.947","","0.976","","1.002","","1.003","","1.000","","0.998","","0.995","","0.993",""
"2"," Australia","0.962","","0.969","","0.977","","0.977","","0.979","","0.979","","0.979","","0.978",""
"24"," Austria","0.933","","0.936","","0.944","","0.947","","0.950","","0.953","","0.955","","0.957",""
"78"," Azerbaijan","0.951","","0.922","","0.950","","0.945","","0.941","","0.943","","0.956","","0.940",""
"58"," Bahamas","1.001","","","","","","","","","","","","","","",""
"47"," Bahrain","0.932","","0.956","","0.968","","0.969","","0.970","","0.971","","0.971","","0.970",""
"139"," Bangladesh","0.835","","0.868","","0.904","","0.916","","0.924","","0.925","","0.926","","0.927",""
"54"," Barbados","0.989","","0.994","","1.008","","1.014","","1.018","","1.014","","1.010","","1.006",""
"52"," Belarus","1.023","","1.026","","1.025","","1.025","","1.024","","1.021","","1.021","","1.021",""
"22"," Belgium","0.969","","0.973","","0.977","","0.977","","0.978","","0.979","","0.979","","0.978",""
"103"," Belize","0.928","","0.939","","0.953","","0.966","","0.966","","0.966","","0.967","","0.967",""
"167"," Benin","0.755","","0.786","","0.822","","0.831","","0.840","","0.849","","0.854","","0.858",""
"132"," Bhutan","","","","","0.904","","0.906","","0.907","","0.903","","0.899","","0.900",""
"118"," Bolivia (Plurinational State of)","","","0.917","","0.926","","0.929","","0.932","","0.933","","0.934","","0.934",""
"81"," Bosnia and Herzegovina","","","0.920","","0.931","","0.933","","0.928","","0.925","","0.923","","0.923",""
"108"," Botswana","0.946","","0.948","","0.978","","0.984","","0.985","","0.985","","0.984","","0.984",""
"79"," Brazil","0.990","","0.996","","0.998","","0.998","","1.000","","1.002","","1.002","","1.005",""
"30"," Brunei Darussalam","0.971","","0.973","","0.979","","0.980","","0.985","","0.987","","0.986","","0.986",""
"56"," Bulgaria","0.977","","0.977","","0.990","","0.988","","0.986","","0.985","","0.985","","0.984",""
"185"," Burkina Faso","","","0.810","","0.857","","0.860","","0.867","","0.874","","0.874","","0.874",""
"184"," Burundi","0.832","","0.841","","0.908","","0.912","","0.915","","0.918","","0.919","","0.919",""
