English,Czech,French,German,Italian,Norwegian,Slovak
accountants,účetní,comptables,buchhalter,ragionieri,regnskapsførere,účtovníci
acrobats,akrobati,acrobates,akrobaten,acrobati,akrobater,akrobati
acupuncturists,akupunkturisti,acupuncteurs,akupunkteure,agopunturisti,akupunktører,akupunkturisti
administrative workers,administrativní pracovníci,employés de l’administration,verwaltungsangestellte,impiegati amministrativi,sekretærer,administratívni pracovníci
admirals,admirálové,amiraux,admirale,ammiragli,admiraler,admiráli
aerobics instructors,instruktoři aerobiku,professeurs d’aérobic,aerobiclehrer,istruttori di aerobica,aerobicinstruktører,inštruktori aerobiku
air traffic controllers,letečtí dispečeři,contrôleurs aérien,fluglotsen,controllori di volo,flyveledere,pracovníci riadenia letovej prevádzky
alcoholics,alkoholici,alcooliques,alkoholiker,alcolizzati,alkoholikere,alkoholici
anglers,rybáři,pêcheurs,fischer,pescatori,fiskere,rybári
animators,organizátoři volnočasových aktivit,NA,animateure,animatori,animatører,animátori voľného času
antique dealers,starožitníci,antiquaires,antiquitätenhändler,antiquari,antikvitetsforhandlere,starožitníci
apprentices,učňové,apprentis,lehrlinge,apprendisti,lærlinger,učni
architects,architekti,architectes,architekten,architetti,arkitekter,architekti
archivists,archiváři,archivistes,archivare,archivisti,arkivarer,archivári
artists,umělci,artistes,künstler,artisti,kunstnere,umelci
assistants,asistenti,assistants,assistenten,assistenti,assistenter,asistenti
assistant chefs,asistenti šéfkuchaře,chefs de partie,assistenzköche,assistenti cuochi,hjelpekokker,asistenti šéfkuchára
astrologists,astrologové,astrologues,astrologen,astrologi,astrologer,astrológovia
astronauts,astronauti/kosmonauti,astronautes,astronauten,astronauti,astronauter,astronauti
astronomers,astronomové,astronomes,astronomen,astronomi,astronomer,astronómovia
athletes,atleti,athlètes,sportler,atleti,idrettsutøvere,športovci
au pairs,au-pair,jeunes garçons au pair,aupairs,ragazzi alla pari,au-pairer,au-pair
auctioneers,dražitelé,commissaires-priseurs,auktionäre,banditori d’asta,auksjonarier,dražitelia
authors,autoři,auteurs,autoren,autori,forfattere,autori
babies,miminka,bébés,säuglinge,neonati,spedbarn,bábätká
babysitters,opatrovatelé dětí,babysitters,babysitter,babysitter,barnevakter,opatrovatelia detí
bakers,pekaři,boulangers,bäcker,fornai,bakere,pekári
ballet dancers,baletní tanečníci,danseurs classiques,balletttänzer,ballerini,ballettdansere,baletníci
bank clerks,bankovní úředníci,employés de banque,bankangestellte,impiegati di banca,bankkasserere,bankoví úradníci
bankers,bankovní úředníci,banquiers,bankkaufleute,banchieri,bankfunksjonærer,bankári
barbers,holiči,barbiers,herrenfriseure,barbieri,barberere,holiči
bartenders,barmani,tenanciers de bar,barkeeper,baristi,bartendere,barmani
baseball players,hráči basebalu,joueurs de baseball,baseballspieler,giocatori di baseball,baseballspillere,bejzbalisti
basketball players,basketbalisti,joueurs de basketball,basketballspieler,giocatori di pallacanestro,basketballspillere,basketbalisti
bass players,baskytaristi,bassistes,bassisten,bassisti,bassister,basgitaristi
beauticians,kosmetici,esthéticiens,kosmetiker,estetisti,kosmetikere,kozmetici
bikers,cyklisti,motards,motorradfahrer,motociclisti,motorsyklister,cyklisti
bingo players,hráči binga,joueurs de bingo,bingospieler,giocatori di bingo,bingospillere,hráči binga
biologists,biologové,biologistes,biologen,biologi,biologer,biológovia
birth attendants,porodníci,assistants maternels,geburtshelfer,ostetrici,fødselshjelpere,pôrodní asistenti
blacksmiths,kováři,forgerons,schmiede,fabbri,smeder,kováči
bookkeepers,účetní,comptables,buchhalter,contabili,bokholdere,účtovníci
bosses,šéfové,patrons,chefs,capi,sjefer,šéfovia
boutique owners,majitelé butiků,propriétaires de boutique,boutique-inhaber,propietari di negozio,butikkeiere,majitelia butiku
boxers,boxeři,boxeurs,boxer,pugili,boksere,boxeri
bricklayers,zedníci,maçons,maurer,muratori,murere,murári
building contractors,stavitelé,entrepreneurs en bâtiment,bauunternehmer,impresari edili,byggentreprenører,stavitelia
bus drivers,řidiči autobusu,conducteurs de bus,busfahrer,autisti di autobus,bussjåfører,vodiči autobusov
butchers,řezníci,bouchers,metzger,macellai,slaktere,mäsiari
butlers,NA,maîtres d’hôtel,dienstboten,maggiordomi,hovmestere,komorníci
cabinet ministers,ministři,ministres,minister,ministri,ministere,ministri
cake decorators,cukráři,décorateurs de gâteau,NA,decoratori di torte,NA,cukrári
camera operators,kameramani,caméramans,kameraleute,operatori cinematografici,filmfotografer,kameramani
campers,táborníci,campeurs,camper,campeggiatori,campingturister,táborníci
canteen assistants,pomocníci/pomocné síly,aides de cantine,küchenhilfen,inservienti di mensa,kjøkkenhjelpere,asistenti jedálne
car mechanics,automechanici,mécaniciens,automechaniker,meccanici,bilmekanikere,automechanici
card players,hráči karet,joueurs de cartes,kartenspieler,giocatori di carte,kortspillere,hráči kariet
care workers,opatrovníci,travailleurs sociaux,betreuungspersonen,operatori sociali,sosionomer,opatrovníci
caregivers,pečovatelé,soignants,pfleger,badanti,omsorgsytere,opatrovatelia
caretakers,domovníci,concierges,verwalter,custodi,oppsynsmenn,domovníci
carpenters,tesaři,charpentiers,schreiner,falegnami,snekkere,stolári
cartoonists,karikaturisti,dessinateurs de bd,comiczeichner,disegnatori di cartoni,tegneserieskapere,karikaturisti
cashiers,pokladníci,caissiers,kassierer,cassieri,kasserere,pokladníci
cat owners,majitelé koček,propriétaires de chat,katzenbesitzer,proprietari di gatti,katteeiere,majitelia mačiek
caterers,dodavatelé jídla,traiteurs,betreiber eines partyservice,ristoratori,selskapsarrangører,zásobovatelia
celebrities,celebrity,célébrités,prominente,celebrità,kjendiser,osobnosti
chair persons,předsedové,présidents,vorsitzende,presidenti,styreledere,predsedovia
chamber-maids,pokojští,hommes de chambre,zimmerpersonal,camerieri d’albergo,stuepiker,chyžní
cheerleaders,roztleskávači,pompom boys,cheerleader,ragazzi ponpon,cheerleadere,roztlieskavači
chefs,šéfkuchaři,chefs,chefköche,capocuochi,kjøkkensjefer,šéfkuchári
chemists,chemici,chimistes,chemiker,chimici,kjemikere,chemici
children,děti,enfants,kinder,bambini,barn,deti
child educators,vychovatelé,éducateurs d’enfants,erzieher,educatori d’infanzia,pedagoger,vychovávatelia
child-minders,opatrovatelé dětí,gardiens d’enfants,tagesväter,balie,barnevakter,detskí opatrovatelia
chiropractors,chiropraktici,chiropracteurs,chiropraktiker,chiroterapeuti,kiropraktorer,chiropraktici
chocolate lovers,milovníci čokolády,amateurs de chocolat,schokoladenliebhaber,amanti del cioccolato,sjokoladeelskere,milovníci čokolády
choreographers,choreografové,chorégraphes,choreografen,coreografi,koreografer,choreografi
cinema goers,návštevníci kina,spectateurs de cinéma,kinobesucher,frequentatori di cinema,kinogjengere,návštevníci kina
clairvoyants,jasnovidci,voyants,hellseher,chiaroveggenti,synske,jasnovidci
cleaners,uklízeči,techniciens de surface,reinigungskräfte,addetti alle pulizie,rengjøringspersonale,upratovači
clerks,úředníci,employés,angestellte,impiegati,ansatte,úradníci
clients,klienti,clients,klienten,clienti,klienter,klienti
climbers,horolezci,grimpeurs,kletterer,arrampicatori,klatrere,horolezci
clinical psychologists,kliničtí psychologové,psychologues cliniciens,klinische psychologen,psicologi clinici,kliniske psykologer,klinickí psychológovia
clowns,klauni,clowns,clowns,clown,klovner,klauni
colonels,plukovníci,colonels,obersten,colonnelli,oberster,plukovníci
comedians,komici,comédiens,komiker,comici,komikere,komici
company directors,ředitelé společnosti,directeurs généraux,betriebsleiter,dirigenti d’impresa,direktører,riaditelia spoločnosti
composers,skladatelé,compositeurs,komponisten,compositori,komponister,skladatelia
computer programmers,programátoři,programmateurs,programmierer,programmatori,programmerere,programátori
computer specialists,it odborníci,informaticiens,computerspezialisten,specialisti d’informatica,dataeksperter,it odborníci
computer technicians,it technici,techniciens informatique,computertechniker,tecnici informatici,datateknikere,počítačoví technici
conquerors,dobyvatelé,conquérants,eroberer,conquistatori,erobrere,dobyvatelia
conservationists,ochránci přírody,conservateurs,naturschützer,ambientalisti,miljøvernere,ochrancovia prírody
construction workers,stavební dělníci,ouvriers du bâtiment,bauarbeiter,operai edili,bygningsarbeidere,stavební robotníci
cooks,kuchaři,cuisiniers,köche,cuochi,kokker,kuchári
coordinators,koordinátoři,coordinateurs,koordinatoren,coordinatori,NA,koordinátori
counseling psychologists,psychologové,psychologues conseillers,psychotherapeuten,consulenti psicologici,rådgiver,psychológovia
counsellors,odborní poradci,conseillers professionnels,professionelle berater,consulenti professionali,yrkesrådgivere,odborní poradcovia
couriers,kurýři,coursiers,kuriere,corrieri,kurerer,kuriéri
court reporters,soudní zapisovatelé,sténographes,gerichtsschreiber,cancellieri,rettsstenografer,súdni stenografi
craft workers,řemeslníci,artisans,handwerker,artigiani,håndverkere,remeselníci
crane operators,jeřábníci,grutiers,kranführer,operatori di gru,kranførere,žeriavníci
criminals,kriminálníci,criminels,kriminelle,criminali,kriminelle,zločinci
cult members,členové kultu,membres d’une secte,sektenmitglieder,seguaci,sektmedlemmer,členovia kultu
curators,kurátoři,conservateurs,kuratoren,curatori,kuratorer,kurátori
customers,zákazníci,clients,kunden,consumatori,kunder,zákazníci
customs inspectors,celní inspektoři,inspecteurs des douanes,zollinspektoren,ispettori di dogana,tollinspektører,colní inšpektori
customs officers,celníci,douaniers,zollbeamte,doganieri,tollere,colníci
cyclists,cyklisti,cyclistes,radfahrer,ciclisti,syklister,cyklisti
dance instructors,taneční instruktoři,professeurs de danse,tanzlehrer,istruttori di ballo,danseinstruktører,taneční inštruktori
