WEAT_1,flowers-insects-attitude,1.658619116,flowers-insects,(WEAT 1)
WEAT_2,instruments-weapons-attitude,1.535252751,instruments-weapons,(WEAT 2)
WEAT_3,racial-attitude,-0.209072365,race,(WEAT 3-5)
WEAT_4,racial-attitude-market-discrimination1,-0.359855247,race,(WEAT 3-5)
WEAT_5,racial-attitude-market-discrimination2,-0.378701503,race,(WEAT 3-5)
WEAT_6,gender-bias-career-family,1.776353346,gender-career,(WEAT 6)
WEAT_7,gender-bias-math-arts,1.261247254,gender-math,(WEAT 7)
WEAT_8,gender-bias-science-arts,1.26225356,gender-science,(WEAT 8)
WEAT_9,mental-physical-illness-controllability,1.563136232,mental-physical,(WEAT 9)
WEAT_10,age-attitude,-0.590626679,age,(WEAT 10)
