The Global Gender Gap Report 2016 Dataset © 2016 World Economic Forum ,,,,,,,,,,
Country,overall_score,rank,econonomic_participation_score,rank,educational_attainment_score,rank,health_survival_score,rank,political_empowerment_score,rank
Iceland,0.874,1,0.806,9,1,1,0.97,104,0.719,1
Finland,0.845,2,0.794,16,1,1,0.98,1,0.607,2
Norway,0.842,3,0.818,7,1,28,0.974,68,0.576,3
Sweden,0.815,4,0.802,11,0.999,36,0.974,69,0.486,6
Rwanda,0.8,5,0.817,8,0.958,110,0.972,89,0.452,8
Ireland,0.797,6,0.709,49,1,1,0.979,54,0.502,5
Philippines,0.786,7,0.78,21,1,1,0.98,1,0.386,17
Slovenia,0.786,8,0.784,19,1,25,0.973,76,0.385,18
New Zealand,0.781,9,0.765,24,0.999,40,0.97,104,0.39,16
Nicaragua,0.78,10,0.632,92,1,1,0.98,1,0.506,4
Switzerland,0.776,11,0.745,30,0.993,61,0.974,72,0.391,15
Burundi,0.768,12,0.865,1,0.917,124,0.974,66,0.314,28
Germany,0.766,13,0.691,57,0.966,100,0.979,54,0.428,10
Namibia,0.765,14,0.781,20,0.999,35,0.98,1,0.299,31
South Africa,0.764,15,0.677,63,0.995,55,0.98,1,0.404,13
Netherlands,0.756,16,0.659,76,0.994,60,0.97,103,0.401,14
France,0.755,17,0.676,64,1,1,0.98,1,0.365,19
Latvia,0.755,18,0.785,18,1,1,0.98,1,0.255,38
Denmark,0.754,19,0.735,34,1,1,0.97,106,0.309,29
United Kingdom,0.752,20,0.7,53,0.999,34,0.974,64,0.335,24
Mozambique,0.75,21,0.798,13,0.871,129,0.968,113,0.361,21
Estonia,0.747,22,0.703,50,0.995,53,0.98,1,0.308,30
Bolivia,0.746,23,0.619,98,0.97,98,0.98,1,0.415,11
Belgium,0.745,24,0.731,37,1,1,0.974,64,0.275,35
Lithuania,0.744,25,0.757,25,1,1,0.979,40,0.239,43
Moldova,0.741,26,0.795,15,0.996,52,0.979,40,0.196,58
Cuba,0.74,27,0.578,114,1,1,0.975,61,0.407,12
Barbados,0.739,28,0.825,4,1,1,0.98,1,0.15,78
Spain,0.738,29,0.668,72,0.998,43,0.972,91,0.316,26
Belarus,0.737,30,0.823,5,1,29,0.979,40,0.146,80
Portugal,0.737,31,0.713,46,0.993,63,0.973,76,0.268,36
Costa Rica,0.736,32,0.606,105,1,30,0.975,62,0.365,20
Argentina,0.735,33,0.616,101,0.995,54,0.98,1,0.35,22
Luxembourg,0.734,34,0.75,27,1,1,0.974,69,0.212,55
Canada,0.731,35,0.732,36,1,1,0.969,108,0.222,49
Cape Verde,0.729,36,0.61,104,0.984,90,0.98,1,0.343,23
Bahamas,0.729,37,0.827,3,1,1,0.98,1,0.11,99
Poland,0.727,38,0.69,58,1,31,0.979,40,0.238,44
Colombia,0.727,39,0.749,28,0.999,37,0.979,40,0.18,66
