word,language,gender,translation_id,word_id,translation
dancer,english,M,t1,w1,dancer
nurse,english,M,t1,w1,nurse
singer,english,M,t1,w1,singer
cleaner,english,M,t1,w1,cleaner
secretary,english,M,t1,w1,secretary
waiter,english,M,t1,w1,waiter
journalist,english,M,t1,w1,journalist
baker,english,M,t1,w1,baker
author,english,M,t1,w1,author
athlete,english,M,t1,w1,athlete
lawyer,english,M,t1,w1,lawyer
doctor/physician,english,M,t1,w1,doctor
professor,english,M,t1,w1,professor
governor,english,M,t1,w1,governor
judge,english,M,t1,w1,judge
sailor,english,M,t1,w1,sailor
postman/postwoman,english,M,t1,w1,postman
mechanic,english,M,t1,w1,mechanic
hunter,english,M,t1,w1,hunter
firefighter,english,M,t1,w1,firefighter
dancer,arabic,M,t1,w1,راقصة
nurse,arabic,M,t1,w1,ممرضة
singer,arabic,M,t1,w1,مطرب
cleaner,arabic,M,t1,w1,منظف
secretary,arabic,M,t1,w1,سكرتير
waiter,arabic,M,t1,w1,نادل
journalist,arabic,M,t1,w1,صحافي
baker,arabic,M,t1,w1,خباز
author,arabic,M,t1,w1,مؤلف
athlete,arabic,M,t1,w1,رياضي
lawyer,arabic,M,t1,w1,المحامية
doctor/physician,arabic,M,t1,w1,طبيب
professor,arabic,M,t1,w1,دكتور
governor,arabic,M,t1,w1,محافظ
judge,arabic,M,t1,w1,القاضي
sailor,arabic,M,t1,w1,بحار
postman/postwoman,arabic,M,t1,w1,ساعي
mechanic,arabic,M,t1,w1,الميكانيكي
hunter,arabic,M,t1,w1,صياد
firefighter,arabic,M,t1,w1,رجال
dancer,danish,M,t1,w1,danser
nurse,danish,M,t1,w1,sygeplejer
singer,danish,M,t1,w1,sanger
cleaner,danish,M,t1,w1,rengøringsdame
secretary,danish,M,t1,w1,sektratær
waiter,danish,M,t1,w1,tjener
journalist,danish,M,t1,w1,journalist
baker,danish,M,t1,w1,bager
author,danish,M,t1,w1,forfatter
athlete,danish,M,t1,w1,atlet
lawyer,danish,M,t1,w1,advokat
doctor/physician,danish,M,t1,w1,læge
professor,danish,M,t1,w1,professor
governor,danish,M,t1,w1,guvernør
judge,danish,M,t1,w1,dommer
sailor,danish,M,t1,w1,sejler
postman/postwoman,danish,M,t1,w1,postbud
mechanic,danish,M,t1,w1,mekaniker
hunter,danish,M,t1,w1,jæger
firefighter,danish,M,t1,w1,brandmand
dancer,spanish,M,t1,w1,bailarín
nurse,spanish,M,t1,w1,enfermero
singer,spanish,M,t1,w1,cantante
cleaner,spanish,M,t1,w1,limpiador
secretary,spanish,M,t1,w1,secretario
waiter,spanish,M,t1,w1,camarero
journalist,spanish,M,t1,w1,periodista
baker,spanish,M,t1,w1,panadero
author,spanish,M,t1,w1,autor
athlete,spanish,M,t1,w1,atleta
lawyer,spanish,M,t1,w1,abogado
doctor/physician,spanish,M,t1,w1,doctor
professor,spanish,M,t1,w1,profesor
governor,spanish,M,t1,w1,gobernador
judge,spanish,M,t1,w1,juez
sailor,spanish,M,t1,w1,marinero
postman/postwoman,spanish,M,t1,w1,cartero
