word,language,gender,translation_id,word_id,translation,translation_type
dancer,english,M,t1,w1,dancer,single
nurse,english,M,t1,w1,nurse,single
singer,english,M,t1,w1,singer,single
cleaner,english,M,t1,w1,cleaner,single
secretary,english,M,t1,w1,secretary,single
waiter,english,M,t1,w1,waiter,single
journalist,english,M,t1,w1,journalist,single
baker,english,M,t1,w1,baker,single
author,english,M,t1,w1,author,single
athlete,english,M,t1,w1,athlete,single
lawyer,english,M,t1,w1,lawyer,single
doctor/physician,english,M,t1,w1,doctor,single
professor,english,M,t1,w1,professor,single
governor,english,M,t1,w1,governor,single
judge,english,M,t1,w1,judge,single
sailor,english,M,t1,w1,sailor,single
postman/postwoman,english,M,t1,w1,postman,single
mechanic,english,M,t1,w1,mechanic,single
hunter,english,M,t1,w1,hunter,single
firefighter,english,M,t1,w1,firefighter,single
dancer,arabic,M,t1,w1,راقصة,single
nurse,arabic,M,t1,w1,ممرضة,single
singer,arabic,M,t1,w1,مطرب,single
cleaner,arabic,M,t1,w1,منظف,single
secretary,arabic,M,t1,w1,سكرتير,single
waiter,arabic,M,t1,w1,نادل,single
journalist,arabic,M,t1,w1,صحافي,single
baker,arabic,M,t1,w1,خباز,single
author,arabic,M,t1,w1,مؤلف,single
athlete,arabic,M,t1,w1,رياضي,single
lawyer,arabic,M,t1,w1,المحامية,single
doctor/physician,arabic,M,t1,w1,طبيب,single
professor,arabic,M,t1,w1,دكتور_جامعى,concatenated_multi
governor,arabic,M,t1,w1,محافظ_حاكم,concatenated_multi
judge,arabic,M,t1,w1,القاضي,single
sailor,arabic,M,t1,w1,بحار,single
postman/postwoman,arabic,M,t1,w1,ساعي_البريد,concatenated_multi
mechanic,arabic,M,t1,w1,الميكانيكي,single
hunter,arabic,M,t1,w1,صياد,single
firefighter,arabic,M,t1,w1,رجال_الاطفاء,concatenated_multi
dancer,danish,M,t1,w1,danser,single
nurse,danish,M,t1,w1,sygeplejer,single
singer,danish,M,t1,w1,sanger,single
cleaner,danish,M,t1,w1,rengøringsdame,single
secretary,danish,M,t1,w1,sektratær,single
waiter,danish,M,t1,w1,tjener,single
journalist,danish,M,t1,w1,journalist,single
baker,danish,M,t1,w1,bager,single
author,danish,M,t1,w1,forfatter,single
athlete,danish,M,t1,w1,atlet,single
lawyer,danish,M,t1,w1,advokat,single
doctor/physician,danish,M,t1,w1,læge,single
professor,danish,M,t1,w1,professor,single
governor,danish,M,t1,w1,guvernør,single
judge,danish,M,t1,w1,dommer,single
sailor,danish,M,t1,w1,sejler,single
postman/postwoman,danish,M,t1,w1,postbud,single
mechanic,danish,M,t1,w1,mekaniker,single
hunter,danish,M,t1,w1,jæger,single
firefighter,danish,M,t1,w1,brandmand,single
dancer,spanish,M,t1,w1,bailarín,single
nurse,spanish,M,t1,w1,enfermero,single
singer,spanish,M,t1,w1,cantante,single
cleaner,spanish,M,t1,w1,limpiador,single
secretary,spanish,M,t1,w1,secretario,single
waiter,spanish,M,t1,w1,camarero,single
journalist,spanish,M,t1,w1,periodista,single
baker,spanish,M,t1,w1,panadero,single
author,spanish,M,t1,w1,autor,single
athlete,spanish,M,t1,w1,atleta,single
lawyer,spanish,M,t1,w1,abogado,single
doctor/physician,spanish,M,t1,w1,doctor,single
