translation,wiki_language_code,target_word,translation_id,word_id,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249,V250,V251,V252,V253,V254,V255,V256,V257,V258,V259,V260,V261,V262,V263,V264,V265,V266,V267,V268,V269,V270,V271,V272,V273,V274,V275,V276,V277,V278,V279,V280,V281,V282,V283,V284,V285,V286,V287,V288,V289,V290,V291,V292,V293,V294,V295,V296,V297,V298,V299,V300,V301
אֶקְדָח,he,firearm,t1,w1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
אֶקְדָח,he,gun,t1,w1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
אֶקְדָח,he,pistol,t1,w1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
אַבּוּב,he,oboe,t1,w1,-0.31304,0.29074,-0.060227,-0.13425,0.43851,-0.052227,-0.1157,0.20382,-0.25475,0.38365,0.067494,-0.23398,-0.13713,0.23956,0.23935,-0.054624,0.61906,-0.0847,-0.19813,-0.19617,0.59986,0.053651,0.15122,-0.084656,0.28507,0.2867,0.29276,-0.038373,-0.41392,0.027771,0.16539,-0.11694,-0.80317,-0.29623,0.19797,-0.12913,0.18128,-0.3717,-0.25248,-0.31561,-0.054639,0.51941,0.28395,-0.14466,0.27406,-0.49756,-0.23731,-0.27467,0.26098,0.69085,-0.16797,0.31613,-0.076785,-0.18119,0.36765,-0.059449,-0.36925,0.19655,0.20235,-0.10156,-0.084854,-0.10293,0.59583,-0.62181,-0.28775,0.18471,-0.27704,-0.4662,0.030452,0.25024,0.13108,0.10037,0.39118000000000003,0.12995,0.11055,-0.4397,-0.12257,-0.050531,-0.15382,0.26407,0.17002,0.19434,-0.058713,0.48536,0.9423,0.019162,0.15952,-0.23952,-0.044352,-0.31459,-0.16118,0.11428,0.63636,0.21635,0.26619,-0.20623,-0.48333,0.059018,0.49512,-0.23236,0.056278,0.017907,0.40063,-0.0095769,0.222,-0.13522,0.59311,-0.30809,0.050851,-0.63916,-0.062362,0.096441,-0.17784,-0.17589,-0.087706,0.34588,-0.22688,0.78964,0.068373,0.023857,-0.41681,0.32526,-0.47444,-0.30874,0.040717,0.34078,-0.25937,0.373,0.67636,-0.16166,-0.28136,-0.40509,0.068011,-0.06815,-0.50173,-0.29361,0.057918,-0.11632,0.18326,0.25514,-0.11167,0.10105,0.3257,-0.74257,-0.84158,-0.16525,-0.31032,-0.040325,-0.27902,0.14573,-0.72263,0.45157,-0.027954,-0.027398,-0.44634,0.15958,0.56851,0.72659,-0.17644,0.1287,0.0019463,-0.095616,0.25431,-0.12951,0.18455,0.16266,-0.49191,-0.38622,-0.36332,-0.031145,-0.023707,0.59402,-4.8355e-4,0.44406,-0.092799,0.25683,0.27748,-0.30928,-0.071213,-0.091394,0.19812,-0.079413,0.15697,-0.27915,0.26473,0.35125,-0.04999,0.020587,-0.43135,-0.26038,-0.35674,0.11509,-0.060553,-0.085714,0.1721,-0.24736,-0.70002,-0.19081,-0.10415,-0.17738,0.055691,-0.47716,-0.22748,0.031535,-0.4782,-0.12663,-0.046852,-0.25941,0.1122,0.020966,-0.65,0.054344,0.09719,0.1622,-0.39782,-0.13131,-0.13685,0.30323,-0.25478,0.4587,0.25206,0.42045,0.89526,-0.92269,-0.032118,0.19847,0.027788,-0.29627,-0.16013,-0.087181,0.44686,-0.1659,-0.049565,-0.11391,0.12919,0.10902,-0.2589,0.055682,-0.24685000000000001,-0.30791,0.17824,-0.094429,-0.51772,0.44555,-0.39137,-0.094123,-0.14966,1.1131,0.29863,-0.27306,0.44394,0.03785,0.10419,-0.60941,-0.66667,-0.11491,-0.11665,-0.029638,-0.27218,0.36525,-0.48364,0.40057,0.23449,0.1907,-0.13177,-0.79332,-0.44109,-0.029444,0.17479,0.10925,0.15923,0.2397,0.15876,0.034894,0.44606,-0.1014,-0.021795,0.23988,-0.16575,-0.03863,-0.16375,0.30095,-0.13651,-0.25247000000000003,0.68114,-0.58059,-0.13246,0.099367,-0.73581,-0.58756,0.14659,0.035903,0.39195,-0.050024,-0.31837,0.1319,0.619,-0.035117,-0.050687,-0.52953
אַדְמוֹנִית,he,peony,t1,w1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
אַמְנוֹן,he,pansy,t1,w1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
אַסתֵר,he,aster,t1,w1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
אַרְבֶּה,he,locust,t1,w1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
אהבה,he,love,t1,w1,0.002203,0.051071,0.069604,-0.017693,0.58418,0.2005,0.18709,0.14578,0.14537,0.030583,-0.03639,-0.44905,0.32446,-0.15349,-0.26674,0.033301,-0.21774,-0.42224,-0.086357,-0.027983,0.28602,0.73597,0.45471,-0.09511,-0.20765,0.035008,0.083556,0.026999,-0.039439,-0.044193,-0.04218,-0.26561,-0.080341,-0.17927,-0.18682000000000001,-0.33727,-0.21727,-0.32885,-0.32531,-0.098719,0.20158,0.44602,-0.08993,-0.049461,0.26884,-0.17272,-0.10475,-0.1302,0.11737,0.053282,-0.034939,0.088529,0.12825,-0.47075,-0.1245,-0.059174,0.43856,-0.026732,0.082196,0.054761,0.55348,0.01892,0.46106,-0.46526,0.022762,-0.096614,0.036471,-0.13781,-0.10682,-0.45776,0.058422,0.60362,0.12348,0.404,-0.2489,-0.21896,-0.24324,-0.26447,-0.023021,0.16201,-0.50831,-0.10637,-0.0078674,0.27499,-0.35472,0.48756,0.014716,0.12017,-0.37016,-5.8899e-4,0.076598,-0.51069,0.079361,-0.34714,-0.058806,-0.37917,0.014616,-0.52274,-0.17888,0.1579,-0.062067,0.33905,0.19037,-0.43352,-0.27719,0.11062,0.49899,0.063671,0.11224,0.33617,-0.1248,0.32308,0.10767,-0.068644,-0.21296,0.10502,0.2625,0.17033,-0.20754,-0.23347,0.22108,0.45573,0.076693,-0.40585,-0.23413,0.23726,-0.036692,0.42285,0.3862,0.22754,0.27372,0.058445,-0.1768,-0.40134,0.092867,0.18665,-0.25071,0.083264,0.079946,-0.15077,-0.5001,0.036926,0.33988,0.32094,-0.17564,0.37803,-0.090093,0.63553,0.24222,-0.049888,-0.095854,0.1494,-0.56018,0.4032,0.41729,-0.35798,-0.1717,0.16072,-0.2542,-0.33665,0.12565,0.022353,-0.015666,-0.15693,0.27054,-0.13744,0.18947,-0.0075574,-0.016252,0.33507,-0.10006,-0.2954,-0.3151,0.21478,0.47186,-0.050858,0.10714,-0.0028578,-0.3382,0.11319,0.20659,-0.52548,0.086618,0.16733,-0.24803,0.44385,0.088648,-0.052239,-0.08444,-0.13644,-0.061149,-0.039652,0.12487,-0.28302,0.061259,0.36119,0.061186,0.19907,0.17826,-0.38899,-0.37869,-0.15631,-0.39613,-0.36221,0.032497,-0.08305,-0.38659,-0.11928,-0.34263,-0.38825,-0.493,0.55087,0.33392,0.22916,-0.0041157,0.070373,-0.11945,-0.24044,-0.26574,0.24428,0.25609,0.13812,-0.27331,-0.4828,0.039223,0.15784,-0.61363,0.020096,0.17561,-0.092501,0.25895,-0.10036,0.10537,-0.089755,-0.18194,-0.081245,0.072084,-0.061674,0.012711,-0.24938,-0.019778,0.029334,0.21411,-0.2422,0.24916,-0.15423,0.17564,0.3234,-0.13675,0.4636,-0.08101,-0.3197,-0.16622,-0.10785,-0.34156,0.060846,0.12856,0.33265,0.0049542,-0.0099929,0.22998,-0.0063822,0.19363,-0.11428,0.22278,-0.2432,-0.059804,0.42474,-0.26425,-0.28951,0.0069361,0.1442,0.25021,0.23914,-0.19191,-0.07278,-0.19392,0.074843,-0.060513,-0.071178,0.10511,0.16376,-0.48029,-0.18717,0.42691,0.29529,-0.059646,-0.11483,0.039759,-0.25268,-0.13497,0.12194,-0.028864,0.048229,0.13555,0.24788,-0.049411,-0.31158,0.19459,0.057519
אזליה,he,azalea,t1,w1,0.063438,-0.35414,0.23666,0.51866,0.24154,0.14548,-0.096424,0.23135,-0.36956,0.066795,0.18846,0.33068,-0.32744,0.045539,-0.10514,0.048561,0.31563,-0.3002,0.093386,-0.03901,0.24304,0.57155,0.090525,-0.16876,0.070702,0.10277,0.30339,-0.10405,-0.28577,0.19897,0.1625,-0.23787,-0.17374,-0.15538,-0.26678,-0.11902,0.29313,0.81118,-0.08952,0.10584,0.47927,0.2726,-0.74081,-0.030454,-0.031452,-0.24036,-0.25859,-0.26187,0.077105,0.41721,-0.34584,0.84527,-0.096924,-0.36816,0.36445,-0.62963,0.40643,0.16619,-0.31734,0.27324,0.46469,0.11656,0.009587,-0.010054,0.099791,0.49846,0.29472,0.33902,-0.30943,-0.32347,-0.051632,0.33528,-0.028124,0.69534,-0.14038,0.27043,-0.32573,-0.4096,-0.11857,0.12424,0.15939,-0.1123,-0.26401,0.11751,-0.038342,0.10763,-0.4924,0.058362,-0.080748,0.028671,-0.088086,-0.29315,0.20385,-0.59979,0.39097,0.14383,-0.52736,0.21798,0.076969,-0.1683,0.16346,0.1131,0.047924,0.14902,-0.098126,0.60162,0.11408,0.31398,-0.14033,-0.018252,-0.09417,0.21652,0.21848,-0.65339,0.47573,0.12638,-0.25606,-0.04465,-0.19841,0.24718,0.10417,0.063938,0.26542,0.057562,0.10198,0.24463,-0.020762,0.071562,0.2239,0.26797,0.081938,-0.96488,-0.056438,-0.49264,-0.036342,0.17932,-0.25143,-0.25324,-0.2381,-0.016477,-0.70986,0.073286,0.25385,0.24832,-0.27834,0.41497,-0.06193,0.25797,0.0060754,0.17504,-0.50781,0.14927,0.22687,0.58279,-0.33698,-0.7964,-0.071824,-0.29566,0.17089,0.27125,0.50318,-0.043076,0.048397,0.21555,-0.24103,-0.19889,0.28837,0.14968,0.32715,0.23567,0.18808,-0.23808000000000001,-0.65228,-0.24641,-0.29902,-0.48998,4.0499e-4,-0.1296,0.54223,-0.33933,0.3262,-0.4452,0.30322,-0.10992,-0.12053,0.259,0.36535,0.11794,-0.16217,-0.026151,-0.064297000000000007,-0.22168,-0.141,-0.25064,-0.17937,0.41265,0.02047,-0.19116,-0.14365,0.039838,-0.30008,0.33701,0.19141,0.20324,-0.73462,0.44875,-0.02581,0.44392,0.056503,0.088742,0.053321,0.16714,0.19209,-0.19595,-0.69691,0.25487,0.46187,-0.11791,-0.075801,-0.1844,-0.04663,0.19552,0.057644,0.079435,-0.23627,-0.38259,-0.1853,-0.13877,-0.30584,-0.18893,0.28488,-0.40493,-0.051011,0.070647,-0.26078,0.046936,0.37124,0.033427,-0.28869,-0.31621,0.018341,-0.27641,0.083097,0.41575,0.072913,-0.78689,0.055981,0.79599,-0.095883,0.22115,-0.1947,-0.013937,-0.41963,-0.52309,-0.42833,-0.11427,0.52625,0.25148,0.24231,-0.026775,0.25307,0.26804,0.63508,-0.32825,0.14349,0.15014,-0.31279,-0.14122,-0.1777,0.63192,0.18611,-0.1086,0.64717,-0.20871,0.2298,0.38182,0.19592,0.6533,0.018005,0.17936,0.11643,-0.3678,0.21598,-0.30312,-0.054772,-0.072541,0.41845,0.22695,-0.21796,0.30572,0.19094,-0.022535,-0.17434,-0.31277,0.36309,0.32107,0.43206,-0.45559,0.4993,-0.14467
